Unnamed: 0,heart_rate_min,heart_rate_max,date_time_start_hourly,date_time_end_hourly,time_offset,sample_size,location,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,Clear,Overcast,Partially cloudy,Rain,Snow
0,58.0,100.0,2025-02-12 10:00:00,2025-02-12 11:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-12 10:00:00,3.7,1.8,2.8,94.02,0.0,0.0,,0.0,0.0,10.9,7.2,200.0,1018.0,96.7,6.3,85.0,1,0,1,0,0,0
1,62.0,83.0,2025-02-12 11:00:00,2025-02-12 12:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-12 11:00:00,4.2,2.4,3.1,92.58,0.0,0.0,,0.0,0.0,7.7,7.3,227.0,1018.2,96.7,6.4,125.0,1,0,1,0,0,0
2,69.0,109.0,2025-02-12 12:00:00,2025-02-12 13:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-12 12:00:00,4.4,4.4,3.2,91.68,0.0,0.0,,0.0,0.0,7.7,4.0,245.0,1018.3,100.0,5.4,103.0,1,0,1,0,0,0
3,71.0,110.0,2025-02-12 13:00:00,2025-02-12 14:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-12 13:00:00,4.9,3.3,3.4,90.15,0.0,0.0,,0.0,0.0,11.1,7.0,238.0,1018.1,97.2,5.6,123.0,1,0,1,0,0,0
4,65.0,114.0,2025-02-12 14:00:00,2025-02-12 15:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-12 14:00:00,5.1,3.6,3.5,89.22,0.0,0.0,,0.0,0.0,10.6,6.8,256.0,1017.8,97.2,5.8,83.0,1,0,1,0,0,0
5,76.0,76.0,2025-02-14 19:00:00,2025-02-14 20:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-14 19:00:00,1.3,1.3,-0.9,85.35,0.0,0.0,,0.0,0.0,4.8,3.5,164.0,1028.2,99.1,8.1,0.0,0,0,1,0,0,0
6,103.0,103.0,2025-02-15 18:00:00,2025-02-15 19:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-15 18:00:00,2.2,0.0,-3.9,64.38,0.0,0.0,,0.0,0.0,14.8,7.5,107.0,1022.0,100.0,26.0,0.0,0,0,1,0,0,0
7,91.0,104.0,2025-02-15 19:00:00,2025-02-15 20:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-15 19:00:00,2.0,-1.0,-3.9,65.12,0.0,0.0,,0.0,0.0,21.8,10.2,114.0,1022.1,98.8,32.9,0.0,0,0,1,0,0,0
8,64.0,64.0,2025-02-15 21:00:00,2025-02-15 22:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-15 21:00:00,1.5,-0.7,-3.7,67.96,0.0,0.0,,0.0,0.0,14.4,7.3,106.0,1022.0,99.4,36.7,0.0,0,0,1,0,0,0
9,61.0,61.0,2025-02-15 22:00:00,2025-02-15 23:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-15 22:00:00,1.0,-1.4,-4.1,68.74,0.0,0.0,,0.0,0.0,14.6,7.5,88.0,1021.6,99.4,37.1,0.0,0,0,1,0,0,0
10,64.0,64.0,2025-02-15 23:00:00,2025-02-16 00:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-15 23:00:00,1.0,-1.3,-4.1,68.84,0.0,0.0,,0.0,0.0,11.2,7.3,70.0,1021.5,99.4,40.6,0.0,0,0,1,0,0,0
