daily_step_count,distance_covered,speed,calories_burned,day_time,test_subject,location
10906,6578,NaN,NaN,2025-02-12,4,EHV
6593,3971,NaN,NaN,2025-02-13,4,EHV
19735,11950,NaN,NaN,2025-02-14,4,EHV
12347,7453,NaN,NaN,2025-02-15,4,EHV
2382,1405,NaN,NaN,2025-02-16,4,EHV
12966,7847,NaN,NaN,2025-02-17,4,EHV
812,469,NaN,NaN,2025-02-18,4,EHV
21999,13339,NaN,NaN,2025-02-19,4,EHV
15610,9610,NaN,NaN,2025-02-20,4,EHV
4435,2746,NaN,NaN,2025-02-21,4,EHV
2419,1498,NaN,NaN,2025-02-23,4,EHV
7620,4633,NaN,NaN,2025-02-24,4,EHV
7544,3662,NaN,NaN,2025-02-25,4,EHV
2223,1310,NaN,NaN,2025-02-26,4,EHV
18096,10948,NaN,NaN,2025-02-27,4,EHV
11170,6747,NaN,NaN,2025-02-28,4,EHV
457,268,NaN,NaN,2025-03-01,4,EHV
264,153,NaN,NaN,2025-03-02,4,EHV
6829,4134,NaN,NaN,2025-03-03,4,EHV
196,115,NaN,NaN,2025-03-04,4,EHV
2372,1420,NaN,NaN,2025-03-05,4,EHV
4211,2546,NaN,NaN,2025-03-06,4,EHV
5035,3034,NaN,NaN,2025-03-07,4,EHV
5704,3455,NaN,NaN,2025-03-08,4,EHV
478,278,NaN,NaN,2025-03-09,4,EHV
4312,2615,NaN,NaN,2025-03-10,4,EHV
5979,3627,NaN,NaN,2025-03-11,4,EHV
2911,1752,NaN,NaN,2025-03-12,4,EHV
96,56,NaN,NaN,2025-03-13,4,EHV
72,42,NaN,NaN,2025-03-14,4,EHV
4224,2553,NaN,NaN,2025-03-15,4,EHV
4728,2856,NaN,NaN,2025-03-16,4,EHV
14205,8614,NaN,NaN,2025-03-17,4,EHV
522,305,NaN,NaN,2025-03-18,4,EHV
5499,3336,NaN,NaN,2025-03-19,4,EHV
