daily_step_count,distance_covered,speed,calories_burned,day_time,test_subject
1351,1060.93,1.5125486,50.0,2023-03-04,1
1351,1060.93,1.5125486,50.0,2023-03-04,1
120,92.65,1.433245,4.26,2023-03-05,1
120,92.65,1.433245,4.26,2023-03-05,1
6836,5425.9,1.5106845,261.56,2023-03-06,1
6836,5425.9,1.5106845,261.56,2023-03-06,1
7102,5503.26,1.4760382,245.86998,2023-03-07,1
7102,5503.26,1.4760382,245.86998,2023-03-07,1
5026,3949.32,1.5194751,174.72,2023-03-08,1
5026,3949.32,1.5194751,174.72,2023-03-08,1
9685,7534.88,1.4423224,369.38998,2023-03-09,1
9685,7534.88,1.4423224,369.38998,2023-03-09,1
2980,2343.79,1.5388436,99.34,2023-03-10,1
2980,2343.79,1.5388436,99.34,2023-03-10,1
1052,846.79,1.6707921,37.08,2023-03-11,1
1052,846.79,1.6707921,37.08,2023-03-11,1
6877,5374.57,1.4895669,245.73997,2023-03-12,1
6877,5374.57,1.4895669,245.73997,2023-03-12,1
16411,13020.32,1.5128384,624.81,2023-03-13,1
16411,13020.32,1.5128384,624.81,2023-03-13,1
6620,5224.3,1.5203333,232.90999,2023-03-14,1
6620,5224.3,1.5203333,232.90999,2023-03-15,1
7971,6335.9,1.5602986,285.59,2023-03-15,1
7971,6335.9,1.5602986,285.59,2023-03-15,1
15229,12036.53,1.5077034,562.23,2023-03-16,1
15229,12036.53,1.5077034,562.23,2023-03-16,1
1236,972.34,1.5657847,41.25,2023-03-17,1
6649,5312.87,1.5443473,243.51999,2023-03-18,1
1236,972.34,1.5657847,41.25,2023-03-18,1
6649,5312.87,1.5443473,243.51999,2023-03-18,1
50,43.379997,2.2032688,1.87,2023-03-25,1
50,43.379997,2.2032688,1.87,2023-03-19,1
8457,6542.8,1.4327445,314.78,2023-03-26,1
8457,6542.8,1.4327445,314.78,2023-03-21,1
5633,4429.2603,1.5148116,202.84999,2023-03-27,1
5633,4429.2603,1.5148116,202.84999,2023-03-21,1
7011,5523.4,1.5172632,255.79,2023-03-28,1
7011,5523.4,1.5172632,255.79,2023-03-23,1
3380,2649.05,1.4691656,127.09,2023-03-29,1
3380,2649.05,1.4691656,127.09,2023-03-23,1
5878,4617.16,1.5309155,201.37,2023-03-30,1
5878,4617.16,1.5309155,201.37,2023-03-24,1
2354,1825.76,1.4346735,85.95,2023-03-31,1
2354,1825.76,1.4346735,85.95,2023-03-25,1
681,532.31,1.4556606,24.689997,2023-03-26,1
681,532.31,1.4556606,24.689997,2023-03-26,1
3833,3017.29,1.5298222,139.11,2023-03-27,1
3833,3017.29,1.5298222,139.11,2023-03-27,1
6546,5136.71,1.5121939,235.19,2023-03-28,1
6546,5136.71,1.5121939,235.19,2023-03-28,1
5641,4457.13,1.4942867,215.89,2023-03-29,1
5641,4457.13,1.4942867,215.89,2023-03-29,1
546,451.46002,1.5790347,20.859999,2023-03-30,1
546,451.46002,1.5790347,20.859999,2023-03-30,1
1573,1259.22,1.5883596,56.23,2023-03-31,1
1573,1259.22,1.5883596,56.23,2023-03-31,1
1451,1171.95,1.5774338,54.28,2023-04-01,1
1451,1171.95,1.5774338,54.28,2023-04-01,1
5874,4573.54,1.4788009,214.90999,2023-04-02,1
5874,4573.54,1.4788009,214.90999,2023-04-02,1
7562,6009.07,1.5571804,278.05,2023-04-03,1
7562,6009.07,1.5571804,278.05,2023-04-03,1
1278,1026.37,1.6871679,44.69,2023-04-04,1
1278,1026.37,1.6871679,44.69,2023-04-04,1
5455,4237.36,1.4594413,201.67998,2023-04-05,1
5455,4237.36,1.4594413,201.67998,2023-04-05,1
879,726.14,1.6811993,34.05,2023-04-06,1
879,726.14,1.6811993,34.05,2023-04-06,1
2169,1721.86,1.5644853,74.61,2023-04-07,1
2169,1721.86,1.5644853,74.61,2023-04-07,1
755,607.81,1.575004,28.0,2023-04-08,1
755,607.81,1.575004,28.0,2023-04-08,1
3442,2669.66,1.4439733,126.5,2023-04-09,1
3442,2669.66,1.4439733,126.5,2023-04-09,1
429,338.74002,1.5655726,15.3,2023-04-10,1
429,338.74002,1.5655726,15.3,2023-04-10,1
608,518.17,1.7502548,25.699999,2023-04-11,1
608,518.17,1.7502548,25.699999,2023-04-11,1
5881,4558.48,1.4652731,203.31998,2023-04-12,1
5881,4558.48,1.4652731,203.31998,2023-04-12,1
5180,4099.57,1.5338007,182.28998,2023-04-13,1
5180,4099.57,1.5338007,182.28998,2023-04-13,1
2882,2269.24,1.4937166,103.329994,2023-04-14,1
2882,2269.24,1.4937166,103.329994,2023-04-14,1
581,463.2,1.6120013,20.86,2023-04-15,1
581,463.2,1.6120013,20.86,2023-04-15,1
630,517.53,1.6327082,23.569998,2023-04-16,1
630,517.53,1.6327082,23.569998,2023-04-16,1
5728,4487.64,1.4792885,183.45998,2023-04-17,1
5728,4487.64,1.4792885,183.45998,2023-04-17,1
8569,6638.8,1.4464772,267.44998,2023-04-18,1
8569,6638.8,1.4464772,267.44998,2023-04-18,1
675,544.15,1.516105,24.049997,2023-04-19,1
675,544.15,1.516105,24.049997,2023-04-19,1
13549,10593.22,1.502194,434.54,2023-04-20,1
10136,7987.14,1.5360115,327.61,2023-04-21,1
10136,7987.14,1.5360115,327.61,2023-04-21,1
13549,10593.22,1.502194,434.54,2023-04-20,1
7490,5933.7397,1.561992,244.64996,2023-04-22,1
7490,5933.7397,1.561992,244.64996,2023-04-22,1
12714,10184.7,1.5770272,427.81,2023-04-23,1
12714,10184.7,1.5770272,427.81,2023-04-23,1
12499,9757.29,1.4658083,400.11996,2023-04-24,1
12499,9757.29,1.4658083,400.11996,2023-04-24,1
10677,8397.2,1.4910719,355.03998,2023-04-25,1
10677,8397.2,1.4910719,355.03998,2023-04-25,1
6763,5293.8,1.4732891,217.16998,2023-04-26,1
395,318.76,1.5798359,13.989999,2023-04-27,1
395,318.76,1.5798359,13.989999,2023-04-27,1
6763,5293.8,1.4732891,217.16998,2023-04-26,1
10691,8475.6,1.5652194,346.27,2023-04-28,1
10691,8475.6,1.5652194,346.27,2023-04-28,1
3026,2449.32,1.6681424,105.28999,2023-04-29,1
3026,2449.32,1.6681424,105.28999,2023-04-29,1
10733,8789.39,1.6142609,384.83997,2023-04-30,1
10733,8789.39,1.6142609,384.83997,2023-04-30,1
4414,3662.0698,1.6772579,162.76999,2023-05-01,1
4403,3653.5598,1.6772828,162.4,2023-05-01,1
11,8.51,1.6666665,0.37,2023-05-01,1
9147,7279.03,1.5420878,301.05,2023-05-02,1
9147,7279.03,1.5420878,301.05,2023-05-02,1
9220,7416.83,1.591606,306.59,2023-05-03,1
9220,7416.83,1.591606,306.59,2023-05-03,1
7200,5758.88,1.5354664,240.64998,2023-05-04,1
7200,5758.88,1.5354664,240.64998,2023-05-04,1
