,daily_step_count,distance_covered,speed,calories_burned,day_time,test_subject,location
0,1189.0,889.1038,1.1877792,43.836273,2025:01:14,2,Eindhoven
1,776.0,579.9,1.2523183,29.01,2025:01:14,2,Eindhoven
2,759.0,566.9973,1.0974141,27.581541,2025:01:14,2,Eindhoven
3,3354.0,2499.536,1.251823,128.64409,2025:01:14,2,Eindhoven
4,3065.0,2283.22,1.2439159,117.71,2025:01:15,2,Eindhoven
5,416.0,310.7436,1.2429743,15.593719,2025:01:15,2,Eindhoven
6,5649.0,4225.726,1.2817712,218.6156,2025:01:15,2,Eindhoven
7,5528.0,4131.99,1.2835891,213.53,2025:01:16,2,Eindhoven
8,212.0,162.53978,1.2190485,8.302581,2025:01:16,2,Eindhoven
9,6383.0,4766.842,1.2805935,242.59637,2025:01:17,2,Eindhoven
10,5927.0,4422.59,1.2458704,225.79,2025:01:17,2,Eindhoven
11,604.0,455.47433,1.8218973,22.128538,2025:01:17,2,Eindhoven
12,16650.0,12514.441,1.3518368,614.7305,2025:01:18,2,Eindhoven
13,14766.0,11062.99,1.2745005,546.87,2025:01:18,2,Eindhoven
14,9543.0,7219.7397,1.5470871,345.44928,2025:01:18,2,Eindhoven
15,2645.0,1972.7185,1.2400434,84.77153,2025:01:18,2,Eindhoven
16,2565.0,1913.49,1.2554227,81.92,2025:01:19,2,Eindhoven
17,5589.0,4160.981,1.2803841,191.20796,2025:01:20,2,Eindhoven
18,3916.0,2879.7,1.1486808,120.31,2025:01:20,2,Eindhoven
19,80.0,59.228516,0.88842773,2.851532,2025:01:20,2,Eindhoven
20,4282.0,3222.4917,1.584832,158.6535,2025:01:20,2,Eindhoven
21,4681.0,3526.5645,1.2435303,159.7684,2025:01:20,2,Eindhoven
22,3742.0,2792.96,1.2158318,118.549995,2025:01:21,2,Eindhoven
23,1456.0,1128.8145,1.3024782,59.076416,2025:01:21,2,Eindhoven
24,4506.0,3367.3474,1.2686809,145.13922,2025:01:22,2,Eindhoven
25,3926.0,2932.07,1.2553077,122.46,2025:01:22,2,Eindhoven
26,1305.0,977.958,1.5045508,48.151123,2025:01:22,2,Eindhoven
27,4578.0,3422.17,1.2626679,141.54,2025:01:23,2,Eindhoven
28,4578.0,3422.17,1.2626679,141.54,2025:01:23,2,Eindhoven
29,1564.0,1174.12,1.2827737,48.879997,2025:01:24,2,Eindhoven
30,1564.0,1174.12,1.2827737,48.879997,2025:01:24,2,Eindhoven
31,16869.0,12744.111,1.3479913,558.9864,2025:01:25,2,Eindhoven
32,13174.0,9909.85,1.294504,412.09,2025:01:25,2,Eindhoven
33,11369.0,8614.496,1.4642203,414.4284,2025:01:25,2,Eindhoven
34,2998.0,2244.3647,1.2365062,98.291756,2025:01:26,2,Eindhoven
35,2531.0,1886.09,1.2432027,79.909996,2025:01:26,2,Eindhoven
36,879.0,665.6504,1.2102734,31.933594,2025:01:26,2,Eindhoven
37,2705.0,2023.2683,1.3127291,88.64749,2025:01:27,2,Eindhoven
38,2403.0,1791.37,1.2429751,75.759995,2025:01:27,2,Eindhoven
39,544.0,410.9297,1.6437188,20.613892,2025:01:27,2,Eindhoven
40,4409.0,3300.8901,1.2823151,135.52,2025:01:28,2,Eindhoven
41,4409.0,3300.8901,1.2823151,135.52,2025:01:28,2,Eindhoven
42,1684.0,1275.7888,1.308058,54.465332,2025:01:29,2,Eindhoven
43,1490.0,1121.65,1.2950345,46.92,2025:01:29,2,Eindhoven
44,275.0,214.55664,1.4303776,10.439331,2025:01:29,2,Eindhoven
45,4718.0,3525.7942,1.2868946,147.53552,2025:01:29,2,Eindhoven
46,4367.0,3259.24,1.2510033,134.56999,2025:01:30,2,Eindhoven
47,483.0,364.55664,1.6825691,17.288452,2025:01:30,2,Eindhoven
48,4531.0,3451.8882,1.325038,167.57684,2025:01:30,2,Eindhoven
49,4140.0,3153.77,1.3414887,152.94,2025:01:31,2,Eindhoven
50,577.0,437.81055,1.1421144,21.20935,2025:01:31,2,Eindhoven
51,18063.0,13665.332,1.3725476,668.9783,2025:02:01,2,Eindhoven
52,15715.0,11832.69,1.307102,577.75995,2025:02:01,2,Eindhoven
53,10567.0,8017.1094,1.4985251,388.74817,2025:02:01,2,Eindhoven
54,4074.0,3069.1396,1.2868145,149.92596,2025:02:02,2,Eindhoven
55,2625.0,1951.01,1.2263991,97.31,2025:02:02,2,Eindhoven
56,2403.0,1823.252,1.2870014,88.444214,2025:02:02,2,Eindhoven
57,1515.0,1138.24,1.2958947,55.56,2025:02:03,2,Eindhoven
58,1515.0,1138.24,1.2958947,55.56,2025:02:03,2,Eindhoven
59,5004.0,3756.41,1.2946182,182.4,2025:02:04,2,Eindhoven
60,5004.0,3756.41,1.2946182,182.4,2025:02:04,2,Eindhoven
61,5361.0,4028.79,1.301248,198.87,2025:02:05,2,Eindhoven
62,5361.0,4028.79,1.301248,198.87,2025:02:05,2,Eindhoven
63,4636.0,3499.82,1.3317391,165.67,2025:02:06,2,Eindhoven
64,4636.0,3499.82,1.3317391,165.67,2025:02:06,2,Eindhoven
65,925.0,697.81,1.2661737,34.86,2025:02:06,2,Eindhoven
66,925.0,697.81,1.2661737,34.86,2025:02:07,2,Eindhoven
67,13813.0,10364.82,1.2899339,511.49,2025:02:08,2,Eindhoven
68,13813.0,10364.82,1.2899339,511.49,2025:02:08,2,Eindhoven
69,1371.0,1028.6901,1.2796993,49.829998,2025:02:09,2,Eindhoven
70,1371.0,1028.6901,1.2796993,49.829998,2025:02:09,2,Eindhoven
71,1054.0,801.44,1.3469536,38.47,2025:02:10,2,Eindhoven
72,1054.0,801.44,1.3469536,38.47,2025:02:10,2,Eindhoven
73,5921.0,4441.96,1.2851166,229.83998,2025:02:11,2,Eindhoven
74,5921.0,4441.96,1.2851166,229.83998,2025:02:11,2,Eindhoven
75,8836.0,6638.48,1.30308,346.46997,2025:02:12,2,Eindhoven
76,8836.0,6638.48,1.30308,346.46997,2025:02:12,2,Eindhoven
77,3959.0,2989.05,1.3317418,151.86,2025:02:13,2,Eindhoven
78,3959.0,2989.05,1.3317418,151.86,2025:02:13,2,Eindhoven
79,6240.0,4734.4297,1.362138,229.40997,2025:02:14,2,Eindhoven
80,6240.0,4734.4297,1.362138,229.40997,2025:02:14,2,Eindhoven
81,16363.0,12306.969,1.3111383,600.5818,2025:02:15,2,Eindhoven
82,15885.0,11936.12,1.2980869,582.61,2025:02:15,2,Eindhoven
83,809.0,619.259,1.6154581,29.121813,2025:02:15,2,Eindhoven
84,6251.0,4706.025,1.5098412,231.37349,2025:02:16,2,Eindhoven
85,5009.0,3768.67,1.3157681,151.1,2025:02:16,2,Eindhoven
86,6100.0,4559.6646,2.3789554,281.42154,2025:02:16,2,Eindhoven
87,5317.0,4051.8555,1.4862342,189.90718,2025:02:17,2,Eindhoven
88,3143.0,2378.49,1.3281069,98.45,2025:02:17,2,Eindhoven
89,4870.0,3726.8735,1.7200955,185.09363,2025:02:17,2,Eindhoven
90,7030.0,5303.154,1.464194,217.77739,2025:02:18,2,Eindhoven
91,5155.0,3883.92,1.3193038,156.17,2025:02:18,2,Eindhoven
92,6744.0,5071.6904,2.028676,197.77322,2025:02:18,2,Eindhoven
93,6493.0,4962.1167,1.5159832,220.12468,2025:02:19,2,Eindhoven
94,4613.0,3514.51,1.3928465,141.59999,2025:02:19,2,Eindhoven
95,5997.0,4587.245,1.834898,210.46051,2025:02:19,2,Eindhoven
96,19564.0,17117.271,1.9306805,807.7634,2025:02:20,2,Eindhoven
97,16594.0,14838.38,1.8075951,711.0299,2025:02:20,2,Eindhoven
98,10951.0,8281.428,2.1325567,341.66327,2025:02:20,2,Eindhoven
99,9186.0,7177.9956,1.3778294,341.00204,2025:02:21,2,Eindhoven
100,5586.0,4431.45,1.4750959,216.40997,2025:02:21,2,Eindhoven
101,6650.0,5051.701,1.3531343,236.60608,2025:02:21,2,Eindhoven
102,18480.0,13931.857,1.381572,667.3996,2025:02:21,2,Eindhoven
103,16805.0,12651.39,1.3112504,618.83,2025:02:22,2,Eindhoven
104,11097.0,8380.16,1.4920166,349.97742,2025:02:22,2,Eindhoven
105,15918.0,11932.087,1.5449661,553.0725,2025:02:23,2,Eindhoven
106,11528.0,8465.03,1.1351801,443.97998,2025:02:23,2,Eindhoven
107,14408.0,10843.324,2.0142398,419.0913,2025:02:23,2,Eindhoven
108,4248.0,3187.31,1.2895006,159.74,2025:02:23,2,Eindhoven
109,4248.0,3187.31,1.2895006,159.74,2025:02:24,2,Eindhoven
110,5125.0,3809.71,1.228455,194.68,2025:02:25,2,Eindhoven
111,5125.0,3809.71,1.228455,194.68,2025:02:25,2,Eindhoven
112,3986.0,2956.39,1.2181026,150.98,2025:02:25,2,Eindhoven
113,3986.0,2956.39,1.2181026,150.98,2025:02:26,2,Eindhoven
114,9859.0,7443.71,1.333925,372.59998,2025:02:26,2,Eindhoven
115,9859.0,7443.71,1.333925,372.59998,2025:02:27,2,Eindhoven
116,5206.0,3907.8,1.3030989,191.31999,2025:02:27,2,Eindhoven
117,5206.0,3907.8,1.3030989,191.31999,2025:02:28,2,Eindhoven
118,16457.0,12370.71,1.2970654,609.42,2025:03:01,2,Eindhoven
119,16457.0,12370.71,1.2970654,609.42,2025:03:01,2,Eindhoven
120,2432.0,1810.98,1.2436247,89.58,2025:03:02,2,Eindhoven
121,2432.0,1810.98,1.2436247,89.58,2025:03:02,2,Eindhoven
122,8521.0,6344.8267,1.4700158,255.89157,2025:03:03,2,Eindhoven
123,6929.0,5138.06,1.2319188,213.20999,2025:03:03,2,Eindhoven
124,7184.0,5299.6763,2.3908315,183.25583,2025:03:03,2,Eindhoven
125,16563.0,12354.404,1.4778187,508.02615,2025:03:04,2,Torremolinos
126,14847.0,11051.5,1.2496921,473.09998,2025:03:04,2,Torremolinos
127,13418.0,9991.82,2.5730011,344.22568,2025:03:04,2,Torremolinos
128,13931.0,10424.403,1.6363547,467.72806,2025:03:05,2,Torremolinos
129,13082.0,9779.689,1.2725395,511.67996,2025:03:05,2,Torremolinos
130,12332.0,9191.38,3.2826357,262.85852,2025:03:05,2,Torremolinos
131,20245.0,15141.037,1.5751454,642.2501,2025:03:06,2,Torremolinos
132,18938.0,14127.86,1.2572547,739.89996,2025:03:06,2,Torremolinos
133,17554.0,13045.148,3.2477548,279.06165,2025:03:06,2,Torremolinos
134,18883.0,14125.024,1.4898272,671.1233,2025:03:07,2,Torremolinos
135,16260.0,12134.54,1.2722003,639.74,2025:03:07,2,Torremolinos
136,17388.0,12962.191,2.5667706,454.28284,2025:03:07,2,Torremolinos
137,15653.0,11778.652,1.3049886,576.5883,2025:03:07,2,Torremolinos
138,15630.0,11761.75,1.3079463,575.77997,2025:03:08,2,Eindhoven
139,23.0,16.902344,0.5070703,0.8083496,2025:03:08,2,Eindhoven
140,7154.0,6278.43,1.8729073,316.53992,2025:03:09,2,Eindhoven
141,7154.0,6278.43,1.8729073,316.53992,2025:03:09,2,Eindhoven
142,4036.0,3026.24,1.287461,153.90999,2025:03:09,2,Eindhoven
143,4036.0,3026.24,1.287461,153.90999,2025:03:10,2,Eindhoven
144,5331.0,4021.82,1.3394558,207.84,2025:03:11,2,Eindhoven
145,5331.0,4021.82,1.3394558,207.84,2025:03:11,2,Eindhoven
146,5044.0,3814.3499,1.3523917,196.22998,2025:03:12,2,Eindhoven
147,5044.0,3814.3499,1.3523917,196.22998,2025:03:12,2,Eindhoven
148,4932.0,3774.13,1.4203936,176.98999,2025:03:13,2,Eindhoven
149,4932.0,3774.13,1.4203936,176.98999,2025:03:13,2,Eindhoven
150,2390.0,1796.16,1.295389,85.06,2025:03:13,2,Eindhoven
151,2390.0,1796.16,1.295389,85.06,2025:03:14,2,Eindhoven
152,15211.0,11385.8,1.2683345,474.13998,2025:03:15,2,Eindhoven
153,15211.0,11385.8,1.2683345,474.13998,2025:03:15,2,Eindhoven
154,7367.0,5541.63,1.3100566,225.97,2025:03:16,2,Eindhoven
155,7367.0,5541.63,1.3100566,225.97,2025:03:16,2,Eindhoven
156,1261.0,961.81,1.370657,40.47,2025:03:17,2,Eindhoven
157,1636.0,1221.77,1.2620909,51.82,2025:03:17,2,Eindhoven
158,1636.0,1221.77,1.2620909,51.82,2025:03:17,2,Eindhoven
159,1261.0,961.81,1.370657,40.47,2025:03:17,2,Eindhoven
160,2263.0,1704.39,1.3048688,70.79,2025:03:19,2,Eindhoven
161,2263.0,1704.39,1.3048688,70.79,2025:03:19,2,Eindhoven
162,9398.0,8604.68,2.0534766,417.41992,2025:03:20,2,Eindhoven
163,9398.0,8604.68,2.0534766,417.41992,2025:03:20,2,Eindhoven
164,1615.0,1212.58,1.2838215,58.219997,2025:03:21,2,Eindhoven
165,1615.0,1212.58,1.2838215,58.219997,2025:03:21,2,Eindhoven
166,16956.0,12701.241,1.2897638,622.91656,2025:03:22,2,Eindhoven
167,14784.0,11038.48,1.2550015,559.33,2025:03:22,2,Eindhoven
168,10.0,7.8304,0.46982402,0.3075183,2025:03:22,2,Eindhoven
169,10407.0,7817.316,1.375481,328.12088,2025:03:22,2,Eindhoven
170,573.0,429.43,1.2613628,21.15,2025:03:23,2,Eindhoven
