day_time,daily_step_count,distance_covered,speed,calories_burned,test_subject,location
2025-02-12,10906,6578,nan,nan,4,Eindhoven
2025-02-13,6593,3971,nan,nan,4,Eindhoven
2025-02-14,19735,11950,nan,nan,4,Eindhoven
2025-02-15,12347,7453,nan,nan,4,Eindhoven
2025-02-16,2382,1405,nan,nan,4,Eindhoven
2025-02-17,12966,7847,nan,nan,4,Eindhoven
2025-02-18,812,469,nan,nan,4,Eindhoven
2025-02-19,21999,13339,nan,nan,4,Eindhoven
2025-02-20,15610,9610,nan,nan,4,Eindhoven
2025-02-21,4435,2746,nan,nan,4,Eindhoven
2025-02-23,2419,1498,nan,nan,4,Eindhoven
2025-02-24,7620,4633,nan,nan,4,Eindhoven
2025-02-25,910,532,nan,nan,4,Eindhoven
2025-02-26,2223,1310,nan,nan,4,Eindhoven
2025-02-27,18096,10948,nan,nan,4,Eindhoven
2025-02-28,11170,6747,nan,nan,4,Eindhoven
2025-03-01,457,268,nan,nan,4,Eindhoven
2025-03-02,264,153,nan,nan,4,Eindhoven
2025-03-03,6829,4134,nan,nan,4,Eindhoven
2025-03-04,196,115,nan,nan,4,Eindhoven
2025-03-05,2372,1420,nan,nan,4,Eindhoven
2025-03-06,4211,2546,nan,nan,4,Eindhoven
2025-03-07,5035,3034,nan,nan,4,Eindhoven
2025-03-08,5704,3455,nan,nan,4,Eindhoven
2025-03-09,478,278,nan,nan,4,Eindhoven
2025-03-10,4312,2615,nan,nan,4,Eindhoven
2025-03-11,5979,3627,nan,nan,4,Eindhoven
2025-03-12,2911,1752,nan,nan,4,Eindhoven
2025-03-13,96,56,nan,nan,4,Eindhoven
2025-03-14,72,42,nan,nan,4,Eindhoven
2025-03-15,4224,2553,nan,nan,4,Eindhoven
2025-03-16,4728,2856,nan,nan,4,Eindhoven
2025-03-17,14205,8614,nan,nan,4,Eindhoven
2025-03-18,522,305,nan,nan,4,Eindhoven
2025-03-19,5499,3336,nan,nan,4,Eindhoven
