step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
28,23.430002,,0.9800002,2025-01-24 09:38:00,2025-01-24 09:39:00,UTC+0100,1
18,13.7699995,,0.64000005,2025-01-24 10:47:00,2025-01-24 10:48:00,UTC+0100,1
38,30.11,,1.4599999,2025-01-24 11:21:00,2025-01-24 11:22:00,UTC+0100,1
45,34.860004,,1.7199996,2025-01-24 11:22:00,2025-01-24 11:23:00,UTC+0100,1
21,15.779999,,0.8100001,2025-01-24 11:23:00,2025-01-24 11:24:00,UTC+0100,1
12,9.16,,0.4,2025-01-24 11:39:00,2025-01-24 11:40:00,UTC+0100,1
16,17.3,,1.0699999,2025-01-24 11:40:00,2025-01-24 11:41:00,UTC+0100,1
29,22.26,,1.13,2025-01-24 11:41:00,2025-01-24 11:42:00,UTC+0100,1
29,24.4,,1.37,2025-01-24 11:42:00,2025-01-24 11:43:00,UTC+0100,1
33,24.75,,1.19,2025-01-24 11:43:00,2025-01-24 11:44:00,UTC+0100,1
46,37.87,,1.91,2025-01-24 11:44:00,2025-01-24 11:45:00,UTC+0100,1
31,23.95,,1.19,2025-01-24 11:45:00,2025-01-24 11:46:00,UTC+0100,1
22,16.89,,0.7900001,2025-01-24 11:57:00,2025-01-24 11:58:00,UTC+0100,1
76,58.1,,2.92,2025-01-24 11:59:00,2025-01-24 12:00:00,UTC+0100,1
98,73.5,,3.89,2025-01-24 12:00:00,2025-01-24 12:01:00,UTC+0100,1
79,60.06,,3.14,2025-01-24 12:01:00,2025-01-24 12:02:00,UTC+0100,1
44,33.84,,1.68,2025-01-24 12:02:00,2025-01-24 12:03:00,UTC+0100,1
29,22.06,,1.09,2025-01-24 12:04:00,2025-01-24 12:05:00,UTC+0100,1
38,30.0,,1.5,2025-01-24 12:38:00,2025-01-24 12:39:00,UTC+0100,1
23,21.14,,1.2,2025-01-24 12:39:00,2025-01-24 12:40:00,UTC+0100,1
25,19.3,,0.92,2025-01-24 12:40:00,2025-01-24 12:41:00,UTC+0100,1
