,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
0,38.0,28.24121,1.6944727,1.4282837,2025-02-19 08:39:00,2025-02-19 08:40:00,UTC+0100,2,Eindhoven
1,53.0,41.94336,2.5166016,2.1375122,2025-02-19 08:40:00,2025-02-19 08:41:00,UTC+0100,2,Eindhoven
2,46.0,35.51465,2.130879,1.5791016,2025-02-19 08:41:00,2025-02-19 08:42:00,UTC+0100,2,Eindhoven
3,40.0,29.731445,1.7838867,1.4351196,2025-02-19 08:42:00,2025-02-19 08:43:00,UTC+0100,2,Eindhoven
4,45.0,35.473633,2.128418,1.4440308,2025-02-19 08:43:00,2025-02-19 08:44:00,UTC+0100,2,Eindhoven
5,46.0,34.36,1.3055556,1.44,2025-02-19 08:42:00,2025-02-19 08:43:00,UTC+0100,2,Eindhoven
6,11.0,9.162109,0.54972655,0.54241943,2025-02-19 08:44:00,2025-02-19 08:45:00,UTC+0100,2,Eindhoven
7,22.0,16.979492,1.0187695,0.7800293,2025-02-19 08:45:00,2025-02-19 08:46:00,UTC+0100,2,Eindhoven
8,13.0,9.791016,0.58746094,0.43780518,2025-02-19 08:46:00,2025-02-19 08:47:00,UTC+0100,2,Eindhoven
9,28.0,21.24121,1.2744727,0.94104004,2025-02-19 08:53:00,2025-02-19 08:54:00,UTC+0100,2,Eindhoven
10,26.0,19.513672,1.1708204,0.8931885,2025-02-19 08:54:00,2025-02-19 08:55:00,UTC+0100,2,Eindhoven
11,15.0,13.519531,0.8111719,0.79248047,2025-02-19 08:55:00,2025-02-19 08:56:00,UTC+0100,2,Eindhoven
12,27.0,21.44336,1.2866015,0.8961792,2025-02-19 09:32:00,2025-02-19 09:33:00,UTC+0100,2,Eindhoven
13,51.0,39.61914,2.3771484,1.7684326,2025-02-19 09:35:00,2025-02-19 09:36:00,UTC+0100,2,Eindhoven
14,26.0,20.975586,1.2585351,0.89190674,2025-02-19 09:36:00,2025-02-19 09:37:00,UTC+0100,2,Eindhoven
15,56.0,42.171875,2.5303125,3.2670898,2025-02-19 09:37:00,2025-02-19 09:38:00,UTC+0100,2,Eindhoven
16,33.0,23.485352,1.409121,1.5640869,2025-02-19 09:38:00,2025-02-19 09:39:00,UTC+0100,2,Eindhoven
17,12.0,8.120117,0.48720703,0.47509766,2025-02-19 09:39:00,2025-02-19 09:40:00,UTC+0100,2,Eindhoven
18,16.0,13.009766,0.78058594,0.9265747,2025-02-19 09:42:00,2025-02-19 09:43:00,UTC+0100,2,Eindhoven
19,52.0,39.79,1.4166666,1.62,2025-02-19 09:35:00,2025-02-19 09:36:00,UTC+0100,2,Eindhoven
20,37.0,27.7,1.25,1.15,2025-02-19 09:36:00,2025-02-19 09:37:00,UTC+0100,2,Eindhoven
21,72.0,54.26,1.3055556,2.2,2025-02-19 09:37:00,2025-02-19 09:38:00,UTC+0100,2,Eindhoven
22,28.0,20.07,1.0555556,0.91,2025-02-19 09:38:00,2025-02-19 09:39:00,UTC+0100,2,Eindhoven
23,11.0,8.463867,0.50783205,0.36553955,2025-02-19 09:43:00,2025-02-19 09:44:00,UTC+0100,2,Eindhoven
24,18.0,12.466797,0.74800783,0.6790161,2025-02-19 10:14:00,2025-02-19 10:15:00,UTC+0100,2,Eindhoven
25,12.0,9.823242,0.5893945,0.40716553,2025-02-19 10:21:00,2025-02-19 10:22:00,UTC+0100,2,Eindhoven
26,13.0,10.146484,0.6087891,0.48620605,2025-02-19 10:24:00,2025-02-19 10:25:00,UTC+0100,2,Eindhoven
27,30.0,22.97461,1.3784766,1.0793457,2025-02-19 10:28:00,2025-02-19 10:29:00,UTC+0100,2,Eindhoven
28,39.0,30.756836,1.8454101,1.427002,2025-02-19 10:29:00,2025-02-19 10:30:00,UTC+0100,2,Eindhoven
29,17.0,13.93457,0.83607423,0.5910034,2025-02-19 10:30:00,2025-02-19 10:31:00,UTC+0100,2,Eindhoven
30,10.0,7.138672,0.42832032,0.4430542,2025-02-19 10:31:00,2025-02-19 10:32:00,UTC+0100,2,Eindhoven
31,27.0,19.536133,1.172168,0.8944092,2025-02-19 10:32:00,2025-02-19 10:33:00,UTC+0100,2,Eindhoven
32,21.0,15.949219,0.9569531,0.7062988,2025-02-19 10:33:00,2025-02-19 10:34:00,UTC+0100,2,Eindhoven
33,42.0,31.42,1.3055556,1.32,2025-02-19 10:29:00,2025-02-19 10:30:00,UTC+0100,2,Eindhoven
34,10.0,7.9189453,0.47513673,0.3234253,2025-02-19 10:43:00,2025-02-19 10:44:00,UTC+0100,2,Eindhoven
35,11.0,8.412109,0.5047266,0.36029053,2025-02-19 10:47:00,2025-02-19 10:48:00,UTC+0100,2,Eindhoven
36,15.0,12.174805,0.7304883,0.44366455,2025-02-19 10:48:00,2025-02-19 10:49:00,UTC+0100,2,Eindhoven
37,27.0,20.430664,1.2258399,1.0615234,2025-02-19 10:49:00,2025-02-19 10:50:00,UTC+0100,2,Eindhoven
38,11.0,7.8154297,0.46892577,0.4541626,2025-02-19 10:51:00,2025-02-19 10:52:00,UTC+0100,2,Eindhoven
39,11.0,7.4433594,0.44660157,0.4036255,2025-02-19 10:52:00,2025-02-19 10:53:00,UTC+0100,2,Eindhoven
