,start_time_interval,step_count,distance_covered,end_time_interval,speed,calories_burned,time_offset,test_subject
8,2025-02-25 12:47:00,8.0,6.0,,,,UTC+0100,5
24,2025-02-25 11:21:00,10.0,8.0,,,,UTC+0100,5
26,2025-02-25 11:16:00,10.0,8.0,,,,UTC+0100,5
27,2025-02-25 11:15:00,25.0,20.0,,,,UTC+0100,5
35,2025-02-25 11:00:00,9.0,7.0,,,,UTC+0100,5
36,2025-02-25 10:59:00,8.0,6.0,,,,UTC+0100,5
37,2025-02-25 10:58:00,14.0,11.0,,,,UTC+0100,5
38,2025-02-25 10:57:00,15.0,12.0,,,,UTC+0100,5
42,2025-02-25 10:48:00,18.0,14.0,,,,UTC+0100,5
45,2025-02-25 10:38:00,6.0,4.0,,,,UTC+0100,5
46,2025-02-25 10:36:00,3.0,2.0,,,,UTC+0100,5
58,2025-02-25 09:01:00,7.0,5.0,,,,UTC+0100,5
76,2025-02-25 07:39:00,17.0,13.0,,,,UTC+0100,5
77,2025-02-25 07:37:00,5.0,4.0,,,,UTC+0100,5
79,2025-02-25 07:36:00,61.0,49.0,,,,UTC+0100,5
80,2025-02-25 07:34:00,43.0,34.0,,,,UTC+0100,5
89,2025-02-25 07:28:00,37.0,30.0,,,,UTC+0100,5
92,2025-02-25 07:27:00,102.0,83.0,,,,UTC+0100,5
97,2025-02-25 07:26:00,102.0,83.0,,,,UTC+0100,5
102,2025-02-25 07:25:00,102.0,83.0,,,,UTC+0100,5
106,2025-02-25 07:24:00,102.0,83.0,,,,UTC+0100,5
108,2025-02-25 07:23:00,103.0,84.0,,,,UTC+0100,5
114,2025-02-25 07:22:00,102.0,83.0,,,,UTC+0100,5
118,2025-02-25 07:21:00,23.0,19.0,,,,UTC+0100,5
121,2025-02-25 07:18:00,40.0,33.0,,,,UTC+0100,5
127,2025-02-25 07:17:00,103.0,84.0,,,,UTC+0100,5
131,2025-02-25 07:16:00,102.0,83.0,,,,UTC+0100,5
133,2025-02-25 07:15:00,101.0,82.0,,,,UTC+0100,5
138,2025-02-25 07:14:00,93.0,76.0,,,,UTC+0100,5
141,2025-02-25 07:13:00,101.0,82.0,,,,UTC+0100,5
146,2025-02-25 07:12:00,97.0,79.0,,,,UTC+0100,5
147,2025-02-25 07:11:00,37.0,30.0,,,,UTC+0100,5
150,2025-02-25 07:10:00,17.0,14.0,,,,UTC+0100,5
152,2025-02-25 07:09:00,16.0,13.0,,,,UTC+0100,5
153,2025-02-25 07:08:00,4.0,4.0,,,,UTC+0100,5
157,2025-02-25 06:55:00,3.0,3.0,,,,UTC+0100,5
158,2025-02-25 06:54:00,8.0,7.0,,,,UTC+0100,5
163,2025-02-23 15:05:00,10.0,7.0,,,,UTC+0100,5
164,2025-02-23 15:03:00,80.0,61.0,,,,UTC+0100,5
170,2025-02-23 14:54:00,8.0,6.0,,,,UTC+0100,5
174,2025-02-23 14:50:00,16.0,12.0,,,,UTC+0100,5
175,2025-02-23 14:43:00,7.0,5.0,,,,UTC+0100,5
178,2025-02-23 14:40:00,3.0,2.0,,,,UTC+0100,5
182,2025-02-23 14:15:00,9.0,6.0,,,,UTC+0100,5
190,2025-02-23 13:54:00,8.0,6.0,,,,UTC+0100,5
194,2025-02-23 13:38:00,20.0,15.0,,,,UTC+0100,5
195,2025-02-23 13:37:00,13.0,9.0,,,,UTC+0100,5
196,2025-02-23 13:34:00,19.0,14.0,,,,UTC+0100,5
206,2025-02-23 12:48:00,10.0,7.0,,,,UTC+0100,5
211,2025-02-23 12:47:00,97.0,73.0,,,,UTC+0100,5
212,2025-02-23 12:46:00,93.0,70.0,,,,UTC+0100,5
215,2025-02-23 12:45:00,84.0,64.0,,,,UTC+0100,5
218,2025-02-23 12:44:00,68.0,51.0,,,,UTC+0100,5
222,2025-02-23 12:43:00,97.0,73.0,,,,UTC+0100,5
224,2025-02-23 12:42:00,98.0,74.0,,,,UTC+0100,5
229,2025-02-23 12:41:00,53.0,40.0,,,,UTC+0100,5
230,2025-02-23 12:40:00,92.0,70.0,,,,UTC+0100,5
235,2025-02-23 12:39:00,44.0,33.0,,,,UTC+0100,5
237,2025-02-23 12:38:00,82.0,62.0,,,,UTC+0100,5
240,2025-02-23 12:37:00,78.0,59.0,,,,UTC+0100,5
242,2025-02-23 12:36:00,80.0,61.0,,,,UTC+0100,5
247,2025-02-23 12:35:00,62.0,47.0,,,,UTC+0100,5
250,2025-02-23 12:34:00,75.0,57.0,,,,UTC+0100,5
251,2025-02-23 12:33:00,101.0,77.0,,,,UTC+0100,5
256,2025-02-23 12:32:00,89.0,67.0,,,,UTC+0100,5
259,2025-02-23 12:31:00,91.0,70.0,,,,UTC+0100,5
263,2025-02-23 12:30:00,68.0,52.0,,,,UTC+0100,5
265,2025-02-23 12:29:00,75.0,58.0,,,,UTC+0100,5
267,2025-02-23 12:28:00,60.0,46.0,,,,UTC+0100,5
271,2025-02-23 12:27:00,87.0,67.0,,,,UTC+0100,5
275,2025-02-23 12:26:00,81.0,62.0,,,,UTC+0100,5
277,2025-02-23 12:25:00,94.0,72.0,,,,UTC+0100,5
280,2025-02-23 12:24:00,52.0,40.0,,,,UTC+0100,5
284,2025-02-23 12:23:00,74.0,57.0,,,,UTC+0100,5
286,2025-02-23 12:22:00,67.0,52.0,,,,UTC+0100,5
288,2025-02-23 12:21:00,10.0,8.0,,,,UTC+0100,5
291,2025-02-23 12:19:00,6.0,5.0,,,,UTC+0100,5
292,2025-02-23 12:15:00,7.0,6.0,,,,UTC+0100,5
296,2025-02-23 12:01:00,8.0,7.0,,,,UTC+0100,5
298,2025-02-23 12:00:00,6.0,5.0,,,,UTC+0100,5
302,2025-02-23 11:45:00,18.0,14.0,,,,UTC+0100,5
303,2025-02-23 11:44:00,7.0,6.0,,,,UTC+0100,5
304,2025-02-23 11:43:00,5.0,4.0,,,,UTC+0100,5
312,2025-02-23 11:37:00,21.0,17.0,,,,UTC+0100,5
316,2025-02-23 11:36:00,93.0,71.0,,,,UTC+0100,5
322,2025-02-23 11:35:00,103.0,79.0,,,,UTC+0100,5
326,2025-02-23 11:34:00,76.0,58.0,,,,UTC+0100,5
327,2025-02-23 11:33:00,94.0,72.0,,,,UTC+0100,5
331,2025-02-23 11:32:00,85.0,65.0,,,,UTC+0100,5
335,2025-02-23 11:29:00,19.0,15.0,,,,UTC+0100,5
336,2025-02-23 11:25:00,20.0,16.0,,,,UTC+0100,5
345,2025-02-23 10:31:00,7.0,6.0,,,,UTC+0100,5
353,2025-02-21 18:07:00,16.0,12.0,,,,UTC+0100,5
354,2025-02-21 18:06:00,14.0,11.0,,,,UTC+0100,5
358,2025-02-21 17:58:00,11.0,8.0,,,,UTC+0100,5
359,2025-02-21 17:55:00,6.0,4.0,,,,UTC+0100,5
360,2025-02-21 17:33:00,57.0,45.0,,,,UTC+0100,5
361,2025-02-21 17:32:00,41.0,32.0,,,,UTC+0100,5
362,2025-02-21 17:31:00,101.0,79.0,,,,UTC+0100,5
363,2025-02-21 17:30:00,95.0,75.0,,,,UTC+0100,5
364,2025-02-21 17:29:00,83.0,65.0,,,,UTC+0100,5
365,2025-02-21 17:28:00,88.0,69.0,,,,UTC+0100,5
366,2025-02-21 17:27:00,94.0,74.0,,,,UTC+0100,5
367,2025-02-21 17:26:00,90.0,71.0,,,,UTC+0100,5
368,2025-02-21 17:25:00,79.0,62.0,,,,UTC+0100,5
369,2025-02-21 17:24:00,62.0,49.0,,,,UTC+0100,5
