,daily_step_count,distance_covered,speed,calories_burned,day_time,test_subject,location
0,1351.0,1060.93,1.5125486,50.0,2023-03-04,1,Eindhoven
1,1351.0,1060.93,1.5125486,50.0,2023-03-04,1,Eindhoven
2,120.0,92.65,1.433245,4.26,2023-03-05,1,Eindhoven
3,120.0,92.65,1.433245,4.26,2023-03-05,1,Eindhoven
4,6836.0,5425.9,1.5106845,261.56,2023-03-06,1,Eindhoven
5,6836.0,5425.9,1.5106845,261.56,2023-03-06,1,Eindhoven
6,7102.0,5503.26,1.4760382,245.86998,2023-03-07,1,Eindhoven
7,7102.0,5503.26,1.4760382,245.86998,2023-03-07,1,Eindhoven
8,5026.0,3949.32,1.5194751,174.72,2023-03-08,1,Eindhoven
9,5026.0,3949.32,1.5194751,174.72,2023-03-08,1,Eindhoven
10,9685.0,7534.88,1.4423224,369.38998,2023-03-09,1,Eindhoven
11,9685.0,7534.88,1.4423224,369.38998,2023-03-09,1,Eindhoven
12,2980.0,2343.79,1.5388436,99.34,2023-03-10,1,Eindhoven
13,2980.0,2343.79,1.5388436,99.34,2023-03-10,1,Eindhoven
14,1052.0,846.79,1.6707921,37.08,2023-03-11,1,Eindhoven
15,1052.0,846.79,1.6707921,37.08,2023-03-11,1,Eindhoven
16,6877.0,5374.57,1.4895669,245.73997,2023-03-12,1,Eindhoven
17,6877.0,5374.57,1.4895669,245.73997,2023-03-12,1,Eindhoven
18,16411.0,13020.32,1.5128384,624.81,2023-03-13,1,Eindhoven
19,16411.0,13020.32,1.5128384,624.81,2023-03-13,1,Eindhoven
20,6620.0,5224.3,1.5203333,232.90999,2023-03-14,1,Eindhoven
21,6620.0,5224.3,1.5203333,232.90999,2023-03-15,1,Eindhoven
22,7971.0,6335.9,1.5602986,285.59,2023-03-15,1,Eindhoven
23,7971.0,6335.9,1.5602986,285.59,2023-03-15,1,Eindhoven
24,15229.0,12036.53,1.5077034,562.23,2023-03-16,1,Eindhoven
25,15229.0,12036.53,1.5077034,562.23,2023-03-16,1,Eindhoven
26,1236.0,972.34,1.5657847,41.25,2023-03-17,1,Eindhoven
27,6649.0,5312.87,1.5443473,243.51999,2023-03-18,1,Eindhoven
28,1236.0,972.34,1.5657847,41.25,2023-03-18,1,Eindhoven
29,6649.0,5312.87,1.5443473,243.51999,2023-03-18,1,Eindhoven
31,50.0,43.379997,2.2032688,1.87,2023-03-19,1,Eindhoven
33,8457.0,6542.8,1.4327445,314.78,2023-03-21,1,Eindhoven
35,5633.0,4429.2603,1.5148116,202.84999,2023-03-21,1,Eindhoven
37,7011.0,5523.4,1.5172632,255.79,2023-03-23,1,Eindhoven
39,3380.0,2649.05,1.4691656,127.09,2023-03-23,1,Eindhoven
41,5878.0,4617.16,1.5309155,201.37,2023-03-24,1,Eindhoven
30,50.0,43.379997,2.2032688,1.87,2023-03-25,1,Eindhoven
43,2354.0,1825.76,1.4346735,85.95,2023-03-25,1,Eindhoven
32,8457.0,6542.8,1.4327445,314.78,2023-03-26,1,Eindhoven
44,681.0,532.31,1.4556606,24.689997,2023-03-26,1,Eindhoven
45,681.0,532.31,1.4556606,24.689997,2023-03-26,1,Eindhoven
34,5633.0,4429.2603,1.5148116,202.84999,2023-03-27,1,Eindhoven
46,3833.0,3017.29,1.5298222,139.11,2023-03-27,1,Eindhoven
47,3833.0,3017.29,1.5298222,139.11,2023-03-27,1,Eindhoven
36,7011.0,5523.4,1.5172632,255.79,2023-03-28,1,Eindhoven
48,6546.0,5136.71,1.5121939,235.19,2023-03-28,1,Eindhoven
49,6546.0,5136.71,1.5121939,235.19,2023-03-28,1,Eindhoven
38,3380.0,2649.05,1.4691656,127.09,2023-03-29,1,Eindhoven
50,5641.0,4457.13,1.4942867,215.89,2023-03-29,1,Eindhoven
51,5641.0,4457.13,1.4942867,215.89,2023-03-29,1,Eindhoven
40,5878.0,4617.16,1.5309155,201.37,2023-03-30,1,Eindhoven
52,546.0,451.46002,1.5790347,20.859999,2023-03-30,1,Eindhoven
53,546.0,451.46002,1.5790347,20.859999,2023-03-30,1,Eindhoven
42,2354.0,1825.76,1.4346735,85.95,2023-03-31,1,Eindhoven
54,1573.0,1259.22,1.5883596,56.23,2023-03-31,1,Eindhoven
55,1573.0,1259.22,1.5883596,56.23,2023-03-31,1,Eindhoven
56,1451.0,1171.95,1.5774338,54.28,2023-04-01,1,Eindhoven
57,1451.0,1171.95,1.5774338,54.28,2023-04-01,1,Eindhoven
58,5874.0,4573.54,1.4788009,214.90999,2023-04-02,1,Eindhoven
59,5874.0,4573.54,1.4788009,214.90999,2023-04-02,1,Eindhoven
60,7562.0,6009.07,1.5571804,278.05,2023-04-03,1,Eindhoven
61,7562.0,6009.07,1.5571804,278.05,2023-04-03,1,Eindhoven
62,1278.0,1026.37,1.6871679,44.69,2023-04-04,1,Eindhoven
63,1278.0,1026.37,1.6871679,44.69,2023-04-04,1,Eindhoven
64,5455.0,4237.36,1.4594413,201.67998,2023-04-05,1,Eindhoven
65,5455.0,4237.36,1.4594413,201.67998,2023-04-05,1,Eindhoven
