,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
0,28.0,23.430002,,0.9800002,2025-01-24 09:38:00,2025-01-24 09:39:00,UTC+0100,1,Eindhoven
1,18.0,13.7699995,,0.64000005,2025-01-24 10:47:00,2025-01-24 10:48:00,UTC+0100,1,Eindhoven
2,38.0,30.11,,1.4599999,2025-01-24 11:21:00,2025-01-24 11:22:00,UTC+0100,1,Eindhoven
3,45.0,34.860004,,1.7199996,2025-01-24 11:22:00,2025-01-24 11:23:00,UTC+0100,1,Eindhoven
4,21.0,15.779999,,0.8100001,2025-01-24 11:23:00,2025-01-24 11:24:00,UTC+0100,1,Eindhoven
5,12.0,9.16,,0.4,2025-01-24 11:39:00,2025-01-24 11:40:00,UTC+0100,1,Eindhoven
6,16.0,17.3,,1.0699999,2025-01-24 11:40:00,2025-01-24 11:41:00,UTC+0100,1,Eindhoven
7,29.0,22.26,,1.13,2025-01-24 11:41:00,2025-01-24 11:42:00,UTC+0100,1,Eindhoven
8,29.0,24.4,,1.37,2025-01-24 11:42:00,2025-01-24 11:43:00,UTC+0100,1,Eindhoven
9,33.0,24.75,,1.19,2025-01-24 11:43:00,2025-01-24 11:44:00,UTC+0100,1,Eindhoven
10,46.0,37.87,,1.91,2025-01-24 11:44:00,2025-01-24 11:45:00,UTC+0100,1,Eindhoven
11,31.0,23.95,,1.19,2025-01-24 11:45:00,2025-01-24 11:46:00,UTC+0100,1,Eindhoven
12,22.0,16.89,,0.7900001,2025-01-24 11:57:00,2025-01-24 11:58:00,UTC+0100,1,Eindhoven
13,76.0,58.1,,2.92,2025-01-24 11:59:00,2025-01-24 12:00:00,UTC+0100,1,Eindhoven
14,98.0,73.5,,3.89,2025-01-24 12:00:00,2025-01-24 12:01:00,UTC+0100,1,Eindhoven
15,79.0,60.06,,3.14,2025-01-24 12:01:00,2025-01-24 12:02:00,UTC+0100,1,Eindhoven
16,44.0,33.84,,1.68,2025-01-24 12:02:00,2025-01-24 12:03:00,UTC+0100,1,Eindhoven
17,29.0,22.06,,1.09,2025-01-24 12:04:00,2025-01-24 12:05:00,UTC+0100,1,Eindhoven
18,38.0,30.0,,1.5,2025-01-24 12:38:00,2025-01-24 12:39:00,UTC+0100,1,Eindhoven
19,23.0,21.14,,1.2,2025-01-24 12:39:00,2025-01-24 12:40:00,UTC+0100,1,Eindhoven
20,25.0,19.3,,0.92,2025-01-24 12:40:00,2025-01-24 12:41:00,UTC+0100,1,Eindhoven
21,25.0,18.69,,0.9,2025-01-24 12:43:00,2025-01-24 12:44:00,UTC+0100,1,Eindhoven
22,104.0,78.0,,4.16,2025-01-24 12:44:00,2025-01-24 12:45:00,UTC+0100,1,Eindhoven
23,101.0,75.69,,4.03,2025-01-24 12:45:00,2025-01-24 12:46:00,UTC+0100,1,Eindhoven
24,113.0,85.98,,4.51,2025-01-24 12:46:00,2025-01-24 12:47:00,UTC+0100,1,Eindhoven
25,74.0,56.01,,2.93,2025-01-24 12:47:00,2025-01-24 12:48:00,UTC+0100,1,Eindhoven
26,41.0,32.07,,1.65,2025-01-24 12:48:00,2025-01-24 12:49:00,UTC+0100,1,Eindhoven
27,90.0,73.13,,3.49,2025-01-24 13:01:00,2025-01-24 13:02:00,UTC+0100,1,Eindhoven
28,61.0,55.89,,3.15,2025-01-24 13:02:00,2025-01-24 13:03:00,UTC+0100,1,Eindhoven
29,15.0,14.53,,0.87,2025-01-24 23:44:00,2025-01-24 23:45:00,UTC+0100,1,Eindhoven
