,heart_rate_min,heart_rate_max,date_time_start_hourly,date_time_end_hourly,time_offset,test_subject,location,datetime,name,temp,uvindex,solarradiation,windspeed,humidity
0,72.0,76.0,2025-02-18 08:00:00,2025-02-18 09:00:00,UTC+0100,1,Eindhoven,2025-02-18 08:00:00,Eindhoven,-4.1,0,20.0,7.6,82.28
1,68.0,72.0,2025-02-18 09:00:00,2025-02-18 10:00:00,UTC+0100,1,Eindhoven,2025-02-18 09:00:00,Eindhoven,-2.4,1,128.0,14.2,75.66
2,88.0,88.0,2025-02-18 10:00:00,2025-02-18 11:00:00,UTC+0100,1,Eindhoven,2025-02-18 10:00:00,Eindhoven,-1.2,3,290.0,14.6,69.73
3,96.0,96.0,2025-02-18 11:00:00,2025-02-18 12:00:00,UTC+0100,1,Eindhoven,2025-02-18 11:00:00,Eindhoven,0.7,4,377.0,15.0,61.79
4,93.0,93.0,2025-02-18 12:00:00,2025-02-18 13:00:00,UTC+0100,1,Eindhoven,2025-02-18 12:00:00,Eindhoven,1.7,5,458.0,21.2,53.69
5,106.0,106.0,2025-02-18 13:00:00,2025-02-18 14:00:00,UTC+0100,1,Eindhoven,2025-02-18 13:00:00,Eindhoven,2.6,5,472.0,18.4,51.86
6,93.0,93.0,2025-02-19 07:00:00,2025-02-19 08:00:00,UTC+0100,1,Eindhoven,2025-02-19 07:00:00,Eindhoven,-1.0,0,0.0,14.7,60.72
7,80.0,80.0,2025-02-19 08:00:00,2025-02-19 09:00:00,UTC+0100,1,Eindhoven,2025-02-19 08:00:00,Eindhoven,-0.9,0,21.0,14.7,59.6
8,84.0,84.0,2025-02-19 09:00:00,2025-02-19 10:00:00,UTC+0100,1,Eindhoven,2025-02-19 09:00:00,Eindhoven,-0.3,1,95.0,15.1,57.95
9,87.0,87.0,2025-02-19 10:00:00,2025-02-19 11:00:00,UTC+0100,1,Eindhoven,2025-02-19 10:00:00,Eindhoven,0.6,2,191.0,17.9,53.77
10,99.0,99.0,2025-02-19 11:00:00,2025-02-19 12:00:00,UTC+0100,1,Eindhoven,2025-02-19 11:00:00,Eindhoven,1.6,3,285.0,18.4,50.12
11,89.0,89.0,2025-02-19 12:00:00,2025-02-19 13:00:00,UTC+0100,1,Eindhoven,2025-02-19 12:00:00,Eindhoven,2.8,3,339.0,18.2,47.14
12,93.0,93.0,2025-02-19 13:00:00,2025-02-19 14:00:00,UTC+0100,1,Eindhoven,2025-02-19 13:00:00,Eindhoven,4.2,4,386.0,15.1,44.13
13,103.0,103.0,2025-02-19 14:00:00,2025-02-19 15:00:00,UTC+0100,1,Eindhoven,2025-02-19 14:00:00,Eindhoven,4.8,4,435.0,18.1,43.27
14,111.0,111.0,2025-02-20 13:00:00,2025-02-20 14:00:00,UTC+0100,1,Eindhoven,2025-02-20 13:00:00,Eindhoven,12.1,2,179.0,18.1,72.32
15,88.0,88.0,2025-02-20 14:00:00,2025-02-20 15:00:00,UTC+0100,1,Eindhoven,2025-02-20 14:00:00,Eindhoven,12.3,1,149.0,21.0,74.05
16,84.0,84.0,2025-02-20 15:00:00,2025-02-20 16:00:00,UTC+0100,1,Eindhoven,2025-02-20 15:00:00,Eindhoven,12.2,2,155.0,17.7,76.63
17,99.0,99.0,2025-02-20 16:00:00,2025-02-20 17:00:00,UTC+0100,1,Eindhoven,2025-02-20 16:00:00,Eindhoven,12.4,0,36.0,17.7,79.27
18,92.0,92.0,2025-02-20 17:00:00,2025-02-20 18:00:00,UTC+0100,1,Eindhoven,2025-02-20 17:00:00,Eindhoven,11.8,0,22.0,17.8,83.83
19,93.0,93.0,2025-02-20 18:00:00,2025-02-20 19:00:00,UTC+0100,1,Eindhoven,2025-02-20 18:00:00,Eindhoven,10.8,0,0.0,14.2,89.41
