,heart_rate_min,heart_rate_max,date_time_start_hourly,date_time_end_hourly,time_offset,sample_size,location,datetime,name,temp,uvindex,solarradiation,windspeed,humidity
0,58.0,100.0,2025-02-12 10:00:00,2025-02-12 11:00:00,UTC+0100,1,Eindhoven,2025-02-12 10:00:00,Eindhoven,3.7,1,85.0,7.2,94.02
1,62.0,83.0,2025-02-12 11:00:00,2025-02-12 12:00:00,UTC+0100,1,Eindhoven,2025-02-12 11:00:00,Eindhoven,4.2,1,125.0,7.3,92.58
2,69.0,109.0,2025-02-12 12:00:00,2025-02-12 13:00:00,UTC+0100,1,Eindhoven,2025-02-12 12:00:00,Eindhoven,4.4,1,103.0,4.0,91.68
3,71.0,110.0,2025-02-12 13:00:00,2025-02-12 14:00:00,UTC+0100,1,Eindhoven,2025-02-12 13:00:00,Eindhoven,4.9,1,123.0,7.0,90.15
4,65.0,114.0,2025-02-12 14:00:00,2025-02-12 15:00:00,UTC+0100,1,Eindhoven,2025-02-12 14:00:00,Eindhoven,5.1,1,83.0,6.8,89.22
5,76.0,76.0,2025-02-14 19:00:00,2025-02-14 20:00:00,UTC+0100,1,Eindhoven,2025-02-14 19:00:00,Eindhoven,1.3,0,0.0,3.5,85.35
6,103.0,103.0,2025-02-15 18:00:00,2025-02-15 19:00:00,UTC+0100,1,Eindhoven,2025-02-15 18:00:00,Eindhoven,2.2,0,0.0,7.5,64.38
7,91.0,104.0,2025-02-15 19:00:00,2025-02-15 20:00:00,UTC+0100,1,Eindhoven,2025-02-15 19:00:00,Eindhoven,2.0,0,0.0,10.2,65.12
8,64.0,64.0,2025-02-15 21:00:00,2025-02-15 22:00:00,UTC+0100,1,Eindhoven,2025-02-15 21:00:00,Eindhoven,1.5,0,0.0,7.3,67.96
9,61.0,61.0,2025-02-15 22:00:00,2025-02-15 23:00:00,UTC+0100,1,Eindhoven,2025-02-15 22:00:00,Eindhoven,1.0,0,0.0,7.5,68.74
10,64.0,64.0,2025-02-15 23:00:00,2025-02-16 00:00:00,UTC+0100,1,Eindhoven,2025-02-15 23:00:00,Eindhoven,1.0,0,0.0,7.3,68.84
11,61.0,61.0,2025-02-16 00:00:00,2025-02-16 01:00:00,UTC+0100,1,Eindhoven,2025-02-16 00:00:00,Eindhoven,1.0,0,0.0,10.6,69.86
