,step_count,distance_covered,speed,calories_burned,start_time_interval_daily,end_time_interval_daily,time_offset,test_subject,location,datetime,name,tempmin,tempmax,temp,uvindex,solarradiation,windspeed,humidity
0,7703.0,6152.8098336,,304.16999013,2025-02-10 00:00:00,2025-02-11 00:00:00,UTC+0100,1,Eindhoven,2025-02-10 00:00:00,Eindhoven,1.0,3.9,2.2,1,21.8,21.7,86.6
1,13740.0,10932.2298114,,562.16998083,2025-02-11 00:00:00,2025-02-12 00:00:00,UTC+0100,1,Eindhoven,2025-02-11 00:00:00,Eindhoven,1.9,4.7,3.5,1,12.3,21.4,95.1
2,9961.0,8010.8198745,,407.35998387,2025-02-12 00:00:00,2025-02-13 00:00:00,UTC+0100,1,Eindhoven,2025-02-12 00:00:00,Eindhoven,2.3,5.1,3.5,1,27.7,7.3,94.5
3,2893.0,2253.109952,,114.43999772000001,2025-02-13 00:00:00,2025-02-14 00:00:00,UTC+0100,1,Eindhoven,2025-02-13 00:00:00,Eindhoven,-1.7,3.0,0.5,1,14.5,19.4,93.9
4,5458.0,4464.7800082,,227.63999957000001,2025-02-14 00:00:00,2025-02-15 00:00:00,UTC+0100,1,Eindhoven,2025-02-14 00:00:00,Eindhoven,-5.4,3.1,-0.4,2,47.4,9.9,90.4
5,398.0,315.8199907,,15.28999967,2025-02-15 00:00:00,2025-02-16 00:00:00,UTC+0100,1,Eindhoven,2025-02-15 00:00:00,Eindhoven,-1.8,3.1,0.9,2,41.7,10.9,80.0
6,100.0,86.629999,,4.50000011,2025-02-16 00:00:00,2025-02-17 00:00:00,UTC+0100,1,Eindhoven,2025-02-16 00:00:00,Eindhoven,-1.1,4.1,1.0,4,91.2,23.6,71.1
7,6720.0,5323.969445,,272.57996458,2025-02-17 00:00:00,2025-02-18 00:00:00,UTC+0100,1,Eindhoven,2025-02-17 00:00:00,Eindhoven,-4.5,3.8,-0.9,5,118.4,14.4,72.5
8,12596.0,9610.5499882,,460.51999004,2025-02-18 00:00:00,2025-02-19 00:00:00,UTC+0100,1,Eindhoven,2025-02-18 00:00:00,Eindhoven,-4.1,3.2,-0.7,5,121.9,21.2,65.3
9,14918.0,11493.3098847,,488.14998664,2025-02-19 00:00:00,2025-02-20 00:00:00,UTC+0100,1,Eindhoven,2025-02-19 00:00:00,Eindhoven,-1.0,5.5,1.8,4,93.1,18.3,55.5
10,23015.0,17834.3786715,,779.96996963,2025-02-20 00:00:00,2025-02-21 00:00:00,UTC+0100,1,Eindhoven,2025-02-20 00:00:00,Eindhoven,1.4,12.4,7.7,3,55.2,21.0,81.2
11,5842.0,4791.7299733,,212.53099663,2025-02-21 00:00:00,2025-02-22 00:00:00,UTC+0100,1,Eindhoven,2025-02-21 00:00:00,Eindhoven,9.2,18.4,13.6,4,81.7,24.6,73.4
12,744.0,583.200001,,24.15999963,2025-02-22 00:00:00,2025-02-23 00:00:00,UTC+0100,1,Eindhoven,2025-02-22 00:00:00,Eindhoven,9.6,12.6,10.9,2,24.8,23.1,87.9
13,48.0,40.120001,,1.9099999300000001,2025-02-23 00:00:00,2025-02-24 00:00:00,UTC+0100,1,Eindhoven,2025-02-23 00:00:00,Eindhoven,7.9,14.5,10.7,5,107.0,24.4,82.3
14,5650.0,4514.8999834999995,,224.68998835,2025-02-24 00:00:00,2025-02-25 00:00:00,UTC+0100,1,Eindhoven,2025-02-24 00:00:00,Eindhoven,8.2,13.9,11.3,2,31.5,27.9,79.0
15,134.0,100.6499976,,4.349999759999999,2025-02-25 00:00:00,2025-02-26 00:00:00,UTC+0100,1,Eindhoven,2025-02-25 00:00:00,Eindhoven,5.6,12.5,8.9,4,73.5,16.3,88.8
16,9668.0,7573.4218332,,327.33996722,2025-02-26 00:00:00,2025-02-27 00:00:00,UTC+0100,1,Eindhoven,2025-02-26 00:00:00,Eindhoven,3.6,11.3,7.5,5,92.5,21.2,84.0
17,15595.0,12009.9688277,,498.45997932,2025-02-27 00:00:00,2025-02-28 00:00:00,UTC+0100,1,Eindhoven,2025-02-27 00:00:00,Eindhoven,3.8,8.1,5.9,4,79.9,21.3,89.4
18,10550.0,8101.755089,1.6476896473029046,352.06049957,2025-02-19 00:00:00,2025-02-20 00:00:00,UTC+0100,2,Eindhoven,2025-02-19 00:00:00,Eindhoven,-1.0,5.5,1.8,4,93.1,18.3,55.5
19,23971.0,23119.8074131,1.9244084382840236,1052.69320478,2025-02-20 00:00:00,2025-02-21 00:00:00,UTC+0100,2,Eindhoven,2025-02-20 00:00:00,Eindhoven,1.4,12.4,7.7,3,55.2,21.0,81.2
20,11791.0,9488.42127165,1.3838106196982098,453.26604987,2025-02-21 00:00:00,2025-02-22 00:00:00,UTC+0100,2,Eindhoven,2025-02-21 00:00:00,Eindhoven,9.2,18.4,13.6,4,81.7,24.6,73.4
21,27725.0,21026.28014885,1.347653703849239,968.55741307,2025-02-22 00:00:00,2025-02-23 00:00:00,UTC+0100,2,Eindhoven,2025-02-22 00:00:00,Eindhoven,9.6,12.6,10.9,2,24.8,23.1,87.9
22,25877.0,19403.684072,1.6049474734276206,867.781286277,2025-02-23 00:00:00,2025-02-24 00:00:00,UTC+0100,2,Eindhoven,2025-02-23 00:00:00,Eindhoven,7.9,14.5,10.7,5,107.0,24.4,82.3
23,4120.0,3091.9800074,1.2934176848214285,155.02999902,2025-02-24 00:00:00,2025-02-25 00:00:00,UTC+0100,2,Eindhoven,2025-02-24 00:00:00,Eindhoven,8.2,13.9,11.3,2,31.5,27.9,79.0
24,5141.0,3822.1300137,1.2616035146875,195.19999374,2025-02-25 00:00:00,2025-02-26 00:00:00,UTC+0100,2,Eindhoven,2025-02-25 00:00:00,Eindhoven,5.6,12.5,8.9,4,73.5,16.3,88.8
25,4113.0,3050.560002,1.2614606125217391,155.67000006,2025-02-26 00:00:00,2025-02-27 00:00:00,UTC+0100,2,Eindhoven,2025-02-26 00:00:00,Eindhoven,3.6,11.3,7.5,5,92.5,21.2,84.0
26,9847.0,7434.910004,1.3136761549411764,372.16998913,2025-02-27 00:00:00,2025-02-28 00:00:00,UTC+0100,2,Eindhoven,2025-02-27 00:00:00,Eindhoven,3.8,8.1,5.9,4,79.9,21.3,89.4
27,5075.0,3810.0100004,1.2943018274657534,186.539997246,2025-02-28 00:00:00,2025-03-01 00:00:00,UTC+0100,2,Eindhoven,2025-02-28 00:00:00,Eindhoven,0.0,8.9,5.2,6,102.3,20.1,85.5
28,16453.0,12370.710011,1.2918716609510086,609.41999541,2025-03-01 00:00:00,2025-03-02 00:00:00,UTC+0100,2,Eindhoven,2025-03-01 00:00:00,Eindhoven,-1.3,4.8,2.5,2,39.5,15.0,90.8
