,step_count,distance_covered,speed,calories_burned,start_time_interval_hourly,end_time_interval_hourly,time_offset,sample_size,location,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
0,26.0,20.399999700000002,,0.94999998,2025-02-10 02:00:00,2025-02-10 03:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 02:00:00,1.6,-2.2,-0.8,84.0,0.0,0.0,,0.0,0.0,21.1,13.9,49.0,1028.3,89.1,7.9,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
1,26.0,22.45,,1.13999996,2025-02-10 06:00:00,2025-02-10 07:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 06:00:00,1.1,-3.4,-1.1,85.37,0.0,0.0,,0.0,0.0,24.2,16.8,59.0,1026.6,17.2,6.9,0.0,0.0,0,,Clear,clear-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
2,118.0,91.789999,,4.48000006,2025-02-10 07:00:00,2025-02-10 08:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 07:00:00,1.1,-3.4,-0.9,86.43,0.0,0.0,,0.0,0.0,28.3,17.3,66.0,1026.4,99.4,6.9,0.0,0.0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
3,68.0,51.110001,,2.6,2025-02-10 08:00:00,2025-02-10 09:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 08:00:00,1.0,-3.6,-0.9,87.36,0.0,0.0,,0.0,0.0,31.7,17.6,59.0,1026.2,98.8,6.9,0.0,0.0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
4,363.0,303.319989,,15.289999100000001,2025-02-10 10:00:00,2025-02-10 11:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 10:00:00,1.4,-3.2,-0.8,85.23,0.0,0.0,,0.0,0.0,25.4,18.0,68.0,1025.8,99.4,6.9,46.0,0.2,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
5,30.0,30.089999999999996,,1.6,2025-02-10 11:00:00,2025-02-10 12:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 11:00:00,1.8,-2.7,-0.7,83.04,0.0,0.0,,0.0,0.0,29.0,18.3,60.0,1025.3,99.4,6.9,75.0,0.3,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
6,2550.0,2063.249848,,102.039993,2025-02-10 12:00:00,2025-02-10 13:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 12:00:00,2.4,-2.4,-0.3,82.46,0.0,0.0,,0.0,0.0,25.6,21.3,61.0,1024.4,98.8,7.0,130.0,0.5,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
7,1341.0,1035.679997,,53.4699991,2025-02-10 13:00:00,2025-02-10 14:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 13:00:00,3.3,-1.3,-0.1,78.58,0.0,0.0,,0.0,0.0,32.2,21.7,69.0,1023.5,98.8,7.8,109.0,0.4,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
8,24.0,20.45,,0.8300000000000001,2025-02-10 14:00:00,2025-02-10 15:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 14:00:00,3.5,-0.6,-0.1,77.32,0.0,0.0,,0.0,0.0,29.1,18.6,62.0,1022.6,99.4,7.7,66.0,0.2,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
9,30.0,24.480003,,0.97,2025-02-10 15:00:00,2025-02-10 16:00:00,UTC+0100,1,Eindhoven,Eindhoven,2025-02-10 15:00:00,3.3,-1.3,0.5,81.79,0.0,0.0,,0.0,0.0,32.2,21.4,69.0,1021.9,99.4,5.9,22.0,0.1,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
