com.samsung.shealth.tracker.pedometer_step_count,6293007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12042,4,0,28,2025-01-24 09:38:00.000,,,2025-01-24 09:38:34.507,2025-01-24 09:38:26.053,28,1.9455342,23.430002,0.9800002,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 09:39:00.000,e31b88f6-7053-473d-987c-76ab62a49abc,
8838,4,0,18,2025-01-24 10:47:00.000,,,2025-01-24 10:47:45.434,2025-01-24 10:47:42.899,18,1.5579151,13.7699995,0.64000005,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 10:48:00.000,c74b4249-5be9-48e9-b988-cdbffa695046,
17539,4,0,38,2025-01-24 11:21:00.000,,,2025-01-24 11:22:02.689,2025-01-24 11:21:32.892,38,1.7167386,30.11,1.4599999,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:22:00.000,fdd87a00-3b01-471d-83b9-c4e571299653,
21749,4,0,45,2025-01-24 11:22:00.000,,,2025-01-24 11:22:44.353,2025-01-24 11:22:22.241,45,1.6028312,34.860004,1.7199996,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:23:00.000,d012ec3c-ede1-49dc-a380-bc5da12e4ba1,
12206,4,0,21,2025-01-24 11:23:00.000,,,2025-01-24 11:23:54.701,2025-01-24 11:23:44.192,21,1.2927357,15.779999,0.8100001,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:24:00.000,970a58d6-1a54-4ebe-bf11-1ba3574f6f7f,
6465,4,0,12,2025-01-24 11:39:00.000,,,2025-01-24 11:40:00.131,2025-01-24 11:40:00.131,12,1.4166666,9.16,0.4,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:40:00.000,950df1a3-4bbc-4c1f-abe1-a9f9b6f091e5,
10271,4,1,15,2025-01-24 11:40:00.000,,,2025-01-24 11:52:39.098,2025-01-24 11:40:01.050,16,1.684313,17.3,1.0699999,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:41:00.000,5bdf3cc4-63f1-4f39-b75b-b7b261b2fed1,
15120,4,0,29,2025-01-24 11:41:00.000,,,2025-01-24 11:52:39.177,2025-01-24 11:52:39.177,29,1.4722222,22.26,1.13,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:42:00.000,424a40d6-5fb1-465c-a209-8607689d637b,
14888,4,1,28,2025-01-24 11:42:00.000,,,2025-01-24 11:52:39.320,2025-01-24 11:52:39.320,29,1.6388888,24.4,1.37,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:43:00.000,b2b02cdb-ae17-43b8-bb3a-cf35717a9b50,
18957,4,0,33,2025-01-24 11:43:00.000,,,2025-01-24 11:52:39.447,2025-01-24 11:52:39.447,33,1.3055556,24.75,1.19,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:44:00.000,4f609636-6d41-4427-a33d-8907dc999180,
22349,4,0,46,2025-01-24 11:44:00.000,,,2025-01-24 11:52:39.526,2025-01-24 11:52:39.526,46,1.6944444,37.87,1.91,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:45:00.000,d9ca9068-9e10-4d30-b014-b48b1b1a34a7,
15676,4,0,31,2025-01-24 11:45:00.000,,,2025-01-24 11:52:39.588,2025-01-24 11:52:39.588,31,1.5277778,23.95,1.19,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:46:00.000,e87e3d5a-fafc-427a-af06-2278f40aa870,
10516,4,0,22,2025-01-24 11:57:00.000,,,2025-01-24 11:57:43.884,2025-01-24 11:57:38.619,22,1.6060001,16.89,0.7900001,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 11:58:00.000,9b2134b0-7cb2-4b41-9e57-2dc4339412d2,
46480,4,0,76,2025-01-24 11:59:00.000,,,2025-01-24 12:15:45.099,2025-01-24 12:15:45.099,76,1.25,58.1,2.92,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:00:00.000,eb0eae1c-149c-489d-8942-fddfc97434e9,
58800,4,0,98,2025-01-24 12:00:00.000,,,2025-01-24 12:15:45.134,2025-01-24 12:15:45.134,98,1.25,73.5,3.89,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:01:00.000,8031e17d-3e80-4941-9dba-113aea415f54,
47003,4,0,79,2025-01-24 12:01:00.000,,,2025-01-24 12:15:45.166,2025-01-24 12:15:45.166,79,1.2777778,60.06,3.14,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:02:00.000,bfa0937c-b184-4cde-bb5d-aeaf5236c837,
22560,4,0,44,2025-01-24 12:02:00.000,,,2025-01-24 12:15:45.203,2025-01-24 12:15:45.203,44,1.5,33.84,1.68,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:03:00.000,b140a2a1-ba20-49eb-9a21-b1e7efd2d451,
17264,4,0,29,2025-01-24 12:04:00.000,,,2025-01-24 12:15:45.263,2025-01-24 12:15:45.263,29,1.2777778,22.06,1.09,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:05:00.000,792b3909-e974-4dfc-8c98-02a1cfdf0c47,
18620,4,0,38,2025-01-24 12:38:00.000,,,2025-01-24 12:42:41.321,2025-01-24 12:42:41.321,38,1.6111112,30.0,1.5,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:39:00.000,097a53f5-1aa2-4a6e-afbd-3d3535759d31,
13590,4,0,23,2025-01-24 12:39:00.000,,,2025-01-24 12:42:41.398,2025-01-24 12:42:41.398,23,1.5555556,21.14,1.2,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:40:00.000,eb30cdd4-8a19-4c9a-bbdf-cd32437734eb,
11776,4,0,25,2025-01-24 12:40:00.000,,,2025-01-24 12:42:41.497,2025-01-24 12:42:41.497,25,1.6388888,19.3,0.92,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:41:00.000,135ec132-7511-4c91-82ad-5cff3b16aada,
14315,4,0,25,2025-01-24 12:43:00.000,,,2025-01-24 12:48:35.474,2025-01-24 12:48:35.474,25,1.3055556,18.69,0.9,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:44:00.000,e9f55be3-7ad8-45d3-b843-13aa7ae1a450,
59744,4,0,104,2025-01-24 12:44:00.000,,,2025-01-24 12:48:35.607,2025-01-24 12:48:35.607,104,1.3055556,78.0,4.16,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:45:00.000,1483de2d-9555-4531-97c9-dd1ad14e1dfd,
57975,4,0,101,2025-01-24 12:45:00.000,,,2025-01-24 12:48:35.635,2025-01-24 12:48:35.635,101,1.3055556,75.69,4.03,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:46:00.000,a2155d2c-036e-4e86-b4e6-5a6e1eb0d214,
60000,4,0,113,2025-01-24 12:46:00.000,,,2025-01-24 12:48:35.656,2025-01-24 12:48:35.656,113,1.4330001,85.98,4.51,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:47:00.000,9828c68f-1c61-422b-8c11-0487cef7a5da,
41150,4,0,74,2025-01-24 12:47:00.000,,,2025-01-24 12:48:35.727,2025-01-24 12:48:35.727,74,1.3611112,56.01,2.93,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:48:00.000,090644d2-1cd3-442d-bb41-8036d96390ce,
22553,4,0,41,2025-01-24 12:48:00.000,,,2025-01-24 12:48:36.283,2025-01-24 12:48:36.207,41,1.421977,32.07,1.65,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 12:49:00.000,d43368ba-1598-4dc9-92c1-896cba80f037,
41135,4,0,90,2025-01-24 13:01:00.000,,,2025-01-24 13:04:43.542,2025-01-24 13:04:43.542,90,1.7777779,73.13,3.49,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 13:02:00.000,c80da629-0534-44d9-b3a9-68846f1ea1fb,
23395,4,18,43,2025-01-24 13:02:00.000,,,2025-01-24 13:04:43.623,2025-01-24 13:04:43.623,61,2.3888888,55.89,3.15,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 13:03:00.000,43a9b38e-3201-4848-ace4-f570eadfdea0,
6793,4,0,15,2025-01-24 23:44:00.000,,,2025-01-24 23:45:27.966,2025-01-24 23:45:27.966,15,2.138889,14.53,0.87,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-24 23:45:00.000,4c818d10-25b5-4d17-9d8e-c0b1564d40df,
10102,4,0,16,2025-01-25 06:36:00.000,,,2025-01-25 06:40:12.510,2025-01-25 06:40:12.510,16,1.3333334,13.47,0.81,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-25 06:37:00.000,d3aece0d-3b37-41f9-b111-d26d6106ec2e,
3472,4,0,8,2025-01-25 06:37:00.000,,,2025-01-25 06:40:12.662,2025-01-25 06:40:12.662,8,1.8888888,6.56,0.27,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-25 06:38:00.000,d0a4dfd4-46b5-4e55-97d2-222398c4a685,
11152,4,0,16,2025-01-25 06:41:00.000,,,2025-01-25 06:41:47.274,2025-01-25 06:41:39.009,16,1.0347795,11.540003,0.62,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-25 06:42:00.000,29fbfe43-81de-4b2f-8695-f701f8be72e1,
13633,4,0,21,2025-01-25 06:56:00.000,,,2025-01-25 06:56:46.736,2025-01-25 06:56:34.237,21,1.1347201,15.47,0.79000014,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-25 06:57:00.000,46c8d047-8d23-4949-83bf-39ddc717c996,
3214,4,2,6,2025-01-25 07:45:00.000,,,2025-01-25 07:55:23.057,2025-01-25 07:45:03.103,8,3.3343837,10.72,0.73,UTC+0100,bdL+9+WpWJ,com.sec.android.app.shealth,2025-01-25 07:46:00.000,44d1f5cb-4f8c-445c-a55b-6a4d55727272,
