com.samsung.shealth.exercise,6292001,16
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,896000,,62850050,,,2025-01-16 17:16:04.000,1001,,,,,30001,,,62850050,,2025-01-16 17:32:00.376,2025-01-16 17:32:00.376,,1.3055556,,,1509,1126.81,,60.28,,,,UTC+0100,R0X8Tl1DGH,,,af066214-4c02-4b99-b62d-56de71434b44.com.samsung.health.exercise.live_data.json,,1.2576005,com.sec.android.app.shealth,,,,,2025-01-16 17:31:00.000,af066214-4c02-4b99-b62d-56de71434b44,,
64323466-5f36-305f-6431-313130393736.live_data_internal.json,0,,,,,0.0,0,,,,64323466-5f36-305f-6431-313130393736.sensing_status.json,1,0,,0,,,0,0,,0.0,,,64323466-5f36-305f-6431-313130393736.location_data_internal.json,,,8000,,100032,0.0,64323466-5f36-305f-6431-313130393736.com.samsung.health.exercise.location_data.json,2025-01-21 21:26:53.000,11007,,174.0,0.0,64.0,0,0.0,147.0,100032,65.0,2025-01-21 21:27:01.000,2025-01-21 21:27:01.000,0.0,4.0,0.0,65.0,0,32.0,0.0,0.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,64323466-5f36-305f-6431-313130393736.com.samsung.health.exercise.live_data.json,0.0,4.0,com.sec.android.app.shealth,,,,,2025-01-21 21:27:01.000,64323466-5f36-305f-6431-313130393736,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,947000,,62900750,,,2025-02-12 11:04:13.000,1001,,,,,30001,,,62900750,,2025-02-12 11:34:03.516,2025-02-12 11:34:03.516,,1.396,,,1518,1150.6799,,60.29,,,,UTC+0100,R0X8Tl1DGH,,,99061cca-138f-4c8f-b94a-c01a40e58b7e.com.samsung.health.exercise.live_data.json,,1.2150792,com.sec.android.app.shealth,,,,,2025-02-12 11:20:00.000,99061cca-138f-4c8f-b94a-c01a40e58b7e,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,867305,,62900750,,,2025-02-12 15:19:32.000,1001,,,,,30001,,,62900750,,2025-02-12 15:37:37.649,2025-02-12 15:37:37.649,,1.5,,,1614,1227.89,,62.72,,,,UTC+0100,R0X8Tl1DGH,,,4ace5921-881c-4d3c-8ff1-ae44e642f713.com.samsung.health.exercise.live_data.json,,1.4157534,com.sec.android.app.shealth,,,,,2025-02-12 15:34:00.000,4ace5921-881c-4d3c-8ff1-ae44e642f713,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,898000,,62900750,,,2025-02-13 12:23:02.000,1001,,,,,30001,,,62900750,,2025-02-13 12:39:36.527,2025-02-13 12:39:36.527,,1.5555556,,,1558,1191.17,,60.75,,,,UTC+0100,R0X8Tl1DGH,,,50b6c704-5438-4641-842a-753dad2f73f2.com.samsung.health.exercise.live_data.json,,1.32647,com.sec.android.app.shealth,,,,,2025-02-13 12:38:00.000,50b6c704-5438-4641-842a-753dad2f73f2,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,840000,,62900750,,,2025-02-14 07:27:00.000,1001,,,,,30001,,,62900750,,2025-02-14 07:45:37.000,2025-02-14 07:45:37.000,,1.4683335,,,1462,1118.68,,52.34,,,,UTC+0100,R0X8Tl1DGH,,,0c2d5985-feec-420c-8d6b-8b7ddc060abd.com.samsung.health.exercise.live_data.json,,1.3317618,com.sec.android.app.shealth,,,,,2025-02-14 07:41:00.000,0c2d5985-feec-420c-8d6b-8b7ddc060abd,,
64323466-5f34-305f-3862-326531623736.live_data_internal.json,0,,,,,0.0,0,,,,64323466-5f34-305f-3862-326531623736.sensing_status.json,1,0,,0,,,0,0,,0.0,,,64323466-5f34-305f-3862-326531623736.location_data_internal.json,,,29000,,100032,0.0,64323466-5f34-305f-3862-326531623736.com.samsung.health.exercise.location_data.json,2025-02-16 13:06:00.000,1001,,189.0,0.0,78.0,30001,0.0,166.0,100032,86.0,2025-02-16 13:07:50.000,2025-02-16 13:07:50.000,0.0,1.5933332,22.0,83.0,11,40.0,0.0,5.0,107.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,64323466-5f34-305f-3862-326531623736.com.samsung.health.exercise.live_data.json,0.0,1.4285715,com.sec.android.app.shealth,,,,,2025-02-16 13:07:50.000,64323466-5f34-305f-3862-326531623736,,
66636338-5f34-305f-3438-636531623736.live_data_internal.json,0,,,,,0.0,0,,,,66636338-5f34-305f-3438-636531623736.sensing_status.json,1,0,,0,,,0,0,,0.0,,,66636338-5f34-305f-3438-636531623736.location_data_internal.json,,,2642000,,100032,0.0,66636338-5f34-305f-3438-636531623736.com.samsung.health.exercise.location_data.json,2025-02-16 13:47:48.000,1001,,201.0,0.0,102.0,30001,0.0,123.0,100032,124.0,2025-02-16 14:32:23.000,2025-02-16 14:32:23.000,0.0,2.0305047,108.0,85.0,4765,3579.0,0.0,225.0,190.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66636338-5f34-305f-3438-636531623736.com.samsung.health.exercise.live_data.json,0.0,1.3546556,com.sec.android.app.shealth,,,,,2025-02-16 14:32:23.000,66636338-5f34-305f-3438-636531623736,,
36343666-5f34-305f-3763-383934623736.live_data_internal.json,0,,,,,0.0,0,,,,36343666-5f34-305f-3763-383934623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1425000,,100032,0.0,,2025-02-18 14:27:19.000,1001,,0.0,0.0,104.0,30001,0.0,0.0,100032,120.0,2025-02-18 14:52:08.000,2025-02-18 14:52:08.000,0.0,2.0,96.0,84.0,2302,1713.0,0.0,110.0,120.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,36343666-5f34-305f-3763-383934623736.com.samsung.health.exercise.live_data.json,0.0,1.205489,com.sec.android.app.shealth,,,,,2025-02-18 14:52:08.000,36343666-5f34-305f-3763-383934623736,,
39323133-5f36-305f-3539-366434623736.live_data_internal.json,0,,,,,0.0,0,,,,39323133-5f36-305f-3539-366434623736.sensing_status.json,1,0,,0,,,0,0,,0.0,,,39323133-5f36-305f-3539-366434623736.location_data_internal.json,,,9000,,100032,0.0,39323133-5f36-305f-3539-366434623736.com.samsung.health.exercise.location_data.json,2025-02-18 18:51:01.000,11007,,84.0,0.0,64.0,0,0.0,69.0,100032,65.0,2025-02-18 18:51:10.000,2025-02-18 18:51:10.000,0.0,0.37499997,0.0,65.0,0,3.0,0.0,0.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,39323133-5f36-305f-3539-366434623736.com.samsung.health.exercise.live_data.json,0.0,0.37499997,com.sec.android.app.shealth,,,,,2025-02-18 18:51:10.000,39323133-5f36-305f-3539-366434623736,,
