com.samsung.shealth.sleep,6292001,8
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,integrated_id,has_sleep_data,bedtime_detection_delay,wakeup_time_detection_delay,total_rem_duration,combined_id,sleep_type,sleep_latency,data_version,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,87.0,46,46,17,3,27,418,357,0,4,,,0,,,83,,-1,,9,79.0,2025-01-15 06:11:01.000,12.0,,2025-01-14 23:12:20.000,,,00353839-3137-3036-3431-323936333731.extra_data.json,,3,262,93.0,85,418,1,100032,2025-01-14 23:12:20.000,,62850050,2025-01-15 06:11:15.521,2025-01-15 06:11:01.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-15 06:10:20.000,00353839-3137-3036-3431-323936333731,
,74.0,35,35,1,1,29,411,116,0,10,,,0,,,57,,-1,,9,68.0,2025-01-16 06:43:11.000,10.0,,2025-01-15 23:38:09.000,,,00353839-3137-3039-3739-303037333731.extra_data.json,,3,290,92.0,81,411,1,100032,2025-01-15 23:38:09.000,,62850050,2025-01-16 06:47:18.099,2025-01-16 06:43:11.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-16 06:29:09.000,00353839-3137-3039-3739-303037333731,
,50.0,6,6,20,0,83,532,345,0,70,,,0,,,15,,-1,,9,47.0,2025-01-17 06:35:08.000,35.0,,2025-01-16 21:42:34.000,,,00353839-3137-3730-3735-393037333731.extra_data.json,,2,428,84.0,61,532,1,100032,2025-01-16 21:42:34.000,,62850050,2025-01-17 06:37:17.530,2025-01-17 06:35:08.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-17 06:34:34.000,00353839-3137-3730-3735-393037333731,
,85.0,13,13,25,3,39,513,326,0,3,,,0,,,77,,-1,,9,64.0,2025-01-20 06:37:27.000,16.0,,2025-01-19 21:55:45.000,82800000,,00353839-3137-3634-3035-353337333731.extra_data.json,25200000,3,384,92.0,75,513,1,100032,2025-01-19 21:55:45.000,,62900750,2025-01-20 06:38:03.286,2025-01-20 06:37:27.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-20 06:28:45.000,00353839-3137-3634-3035-353337333731,
,56.0,45,45,8,1,15,335,198,0,0,,,0,,,33,,-1,,9,70.0,2025-01-21 07:34:06.000,9.0,,2025-01-21 01:17:31.000,82800000,,00353839-3137-3534-3834-343437333731.extra_data.json,25200000,2,242,95.0,61,335,1,100032,2025-01-21 01:17:31.000,,62900750,2025-01-21 07:34:15.343,2025-01-21 07:34:06.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-21 06:52:31.000,00353839-3137-3534-3834-343437333731,
,89.0,44,44,11,2,31,512,251,0,0,,,0,,,90,,-1,,9,86.0,2025-01-22 06:34:16.000,10.0,,2025-01-21 21:41:44.000,82800000,,00353839-3137-3535-3637-323537333731.extra_data.json,25200000,6,347,93.0,80,514,1,100032,2025-01-21 21:41:44.000,,62900750,2025-01-22 06:59:22.038,2025-01-22 06:34:16.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-22 06:15:44.000,00353839-3137-3535-3637-323537333731,
,63.0,9,9,48,0,62,593,472,0,18,,,0,,,11,,1,,9,66.0,2025-01-26 08:38:47.000,24.0,,2025-01-25 22:41:25.000,82800000,,00353839-3137-3632-3730-383837333731.extra_data.json,25200000,1,511,89.0,53,593,1,100032,2025-01-25 22:41:25.000,,62900750,2025-01-26 08:47:55.962,2025-01-26 08:38:47.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-26 08:34:25.000,00353839-3137-3632-3730-383837333731,
,71.0,51,51,16,1,48,532,243,0,20,,,0,,,44,,1,,9,88.0,2025-01-27 06:44:02.000,19.0,,2025-01-26 21:40:52.000,82800000,,00353839-3137-3134-3230-363937333731.extra_data.json,25200000,4,389,90.0,73,532,1,100032,2025-01-26 21:40:52.000,,62900750,2025-01-27 06:44:05.799,2025-01-27 06:44:02.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-27 06:32:52.000,00353839-3137-3134-3230-363937333731,
,77.0,57,57,18,1,33,372,262,0,16,,,0,,,64,,1,,9,78.0,2025-01-30 06:22:24.000,20.0,,2025-01-29 23:44:44.000,82800000,,00353839-3137-3334-3138-313238333731.extra_data.json,25200000,3,218,91.0,78,372,1,100032,2025-01-29 23:44:44.000,,62900750,2025-01-30 06:52:32.101,2025-01-30 06:22:24.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-30 05:56:44.000,00353839-3137-3334-3138-313238333731,
,80.0,31,65,1,2,50,531,95,0,10,,,0,,,63,,1,,9,93.0,2025-01-31 08:31:00.000,12.0,,2025-01-30 23:39:26.000,82800000,,00353839-3137-3935-3232-313338333731.extra_data.json,25200000,2,353,90.0,83,531,1,100032,2025-01-30 23:39:26.000,,62900750,2025-01-31 08:31:04.902,2025-01-31 08:31:00.000,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-01-31 08:30:26.000,00353839-3137-3935-3232-313338333731,
