com.samsung.shealth.tracker.pedometer_step_count,6292001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12644,4,0,26,2025-01-23 07:13:00.000,,,2025-01-23 07:15:06.177,2025-01-23 07:15:06.177,26,1.5833334,20.02,0.82,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:14:00.000,43dc31ff-0164-4b06-b0de-b34540b97be7,
18925,4,0,27,2025-01-23 07:24:00.000,,,2025-01-23 07:24:36.651,2025-01-23 07:24:35.917,27,1.0287789,19.47,0.86999995,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:25:00.000,6b569c4c-7856-4005-94ca-6caa82b51af3,
12547,4,0,22,2025-01-23 07:25:00.000,,,2025-01-23 07:27:08.012,2025-01-23 07:27:08.012,22,1.3333334,16.73,0.69,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:26:00.000,ebc0b77b-b980-4718-983e-564a594bb50a,
8681,4,0,14,2025-01-23 07:26:00.000,,,2025-01-23 07:27:08.085,2025-01-23 07:27:08.085,14,1.1944444,10.37,0.42,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:27:00.000,74209507-9926-4c53-8d8d-971bd50fbce8,
11214,4,0,19,2025-01-23 07:49:00.000,,,2025-01-23 07:55:00.584,2025-01-23 07:55:00.584,19,1.2777778,14.33,0.61,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:50:00.000,cd094f19-703d-4cfd-9f9c-b5431200ff11,
21289,4,0,35,2025-01-23 07:50:00.000,,,2025-01-23 07:55:00.609,2025-01-23 07:55:00.609,35,1.2222222,26.02,1.1,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:51:00.000,8c35ad38-c2fc-4923-9af7-04aa9ccbb2be,
7810,4,0,11,2025-01-23 07:51:00.000,,,2025-01-23 07:55:00.633,2025-01-23 07:55:00.633,11,1.0,7.81,0.36,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:52:00.000,69fee2b7-7048-413b-8f50-b1d614f6f324,
22847,4,0,37,2025-01-23 07:52:00.000,,,2025-01-23 07:55:00.652,2025-01-23 07:55:00.652,37,1.1944444,27.29,1.15,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:53:00.000,647d2571-f944-4498-bf69-fce061d9915c,
55823,4,0,95,2025-01-23 07:53:00.000,,,2025-01-23 07:55:00.672,2025-01-23 07:55:00.672,95,1.2777778,71.33,2.85,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:54:00.000,04b12257-f311-4c06-9e1f-c50fbfdc0fb5,
53576,4,0,90,2025-01-23 07:54:00.000,,,2025-01-23 07:55:00.690,2025-01-23 07:55:00.690,90,1.25,66.97,2.73,UTC+0100,R0X8Tl1DGH,com.sec.android.app.shealth,2025-01-23 07:55:00.000,ca9f2883-1967-4191-a207-f0e4def67118,
