name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eindhoven,2025-02-10,3.9,1,2.2,0.1,-3.6,-2.1,0.2,86.6,1.571,100,29.17,rain,0,0,39.1,21.7,63.8,1023.9,94.5,6.2,21.8,2,1,10,2025-02-10T08:00:48,2025-02-10T17:44:37,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06350099999,02629,06464099999,EHEH,06375099999,15000,06377099999,06479099999,D0088,01590,05064,EHVK,06370099999"
Eindhoven,2025-02-11,4.7,1.9,3.5,2.4,-2.5,0.2,2.8,95.1,7.375,100,79.17,rain,0,0,38.9,21.4,149.7,1017.4,99.2,10.9,12.3,1,1,10,2025-02-11T07:58:59,2025-02-11T17:46:27,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06350099999,02629,06465099999,06464099999,EHEH,06375099999,15000,06377099999,06479099999,D0088,01590,05064,EHVK,06370099999"
Eindhoven,2025-02-12,5.1,2.3,3.5,5.1,0.4,2.4,2.7,94.5,0.305,100,8.33,rain,0,0,17.9,7.3,200.9,1018.1,98.7,6.6,27.7,2.3,1,10,2025-02-12T07:57:09,2025-02-12T17:48:16,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"D0088,06350099999,06391099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-13,3,-1.7,0.5,2.5,-5.3,-1.7,-0.4,93.9,0.125,100,16.67,"rain,snow",0,0,28.4,19.4,2,1021.2,96.5,3.2,14.5,1.3,1,10,2025-02-13T07:55:17,2025-02-13T17:50:06,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-14,3.1,-5.4,-0.4,2.5,-5.4,-1.4,-1.9,90.4,0,0,0,,0,0,14.2,9.9,50.3,1027.5,68.5,5.6,47.4,4.1,2,10,2025-02-14T07:53:23,2025-02-14T17:51:56,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-15,3.1,-1.8,0.9,2.5,-1.8,-0.3,-2.4,80,0,0,0,,0,0,21.8,10.9,96,1024.3,97.8,17.3,41.7,3.5,2,10,2025-02-15T07:51:29,2025-02-15T17:53:45,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-16,4.1,-1.1,1,0,-5.4,-3.2,-3.8,71.1,0.003,100,4.17,"rain,snow",0,0,36,23.6,67.4,1022,53.1,27.8,91.2,7.8,4,10,2025-02-16T07:49:33,2025-02-16T17:55:34,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"D0088,06350099999,01590,02629,06391099999,06464099999,EHEH,06375099999,06377099999,06479099999,06380099999,06370099999"
Eindhoven,2025-02-17,3.8,-4.5,-0.9,0.8,-8.5,-4.2,-5.5,72.5,0,0,0,,0,0,31.4,14.4,68.5,1024.3,20,23.7,118.4,10.3,5,10,2025-02-17T07:47:36,2025-02-17T17:57:23,0.66,Clear,Partly cloudy throughout the day.,clear-day,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-18,3.2,-4.1,-0.7,-0.9,-8.4,-4.6,-6.7,65.3,0,0,0,,0,0,35.7,21.2,88.2,1025,45.7,23.1,121.9,10.5,5,10,2025-02-18T07:45:37,2025-02-18T17:59:12,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D0088,06350099999,01590,06391099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-19,5.5,-1,1.8,2.5,-5.5,-2,-6.3,55.5,0,0,0,,0,0,29.2,18.3,110.5,1021.8,95.4,27.8,93.1,8,4,10,2025-02-19T07:43:38,2025-02-19T18:01:00,0.72,Overcast,Cloudy skies throughout the day.,cloudy,"D0088,06350099999,06391099999,06464099999,06375099999,06377099999,06479099999,06370099999"
