name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Eindhoven,2025-02-10T00:00:00,2.7,-0.9,-0.3,80.57,0,0,,0,0,24.5,14,65,1028.9,97.7,8.6,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T01:00:00,1.7,-1.5,-0.8,83.71,0,0,,0,0,21.2,11,50,1028.5,81.8,7.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T02:00:00,1.6,-2.2,-0.8,84,0,0,,0,0,21.1,13.9,49,1028.3,89.1,7.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T03:00:00,1.7,-2.1,-0.7,83.95,0,0,,0,0,21,13.8,51,1028,97.2,7.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T04:00:00,1.6,-2.3,-0.7,85.1,0,0,,0,0,18.1,13.8,58,1027.5,99,7.8,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T05:00:00,1.3,-2.6,-0.8,85.69,0,0,,0,0,17.9,13.9,43,1027,98.5,6.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T06:00:00,1.1,-3.4,-1.1,85.37,0,0,,0,0,24.2,16.8,59,1026.6,17.2,6.9,0,0,0,,Clear,clear-night,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T07:00:00,1.1,-3.4,-0.9,86.43,0,0,,0,0,28.3,17.3,66,1026.4,99.4,6.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T08:00:00,1,-3.6,-0.9,87.36,0,0,,0,0,31.7,17.6,59,1026.2,98.8,6.9,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T09:00:00,1,-3.6,-0.9,86.9,0,0,,0,0,20.9,17.6,68,1026.1,99.4,6.9,42,0.2,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T10:00:00,1.4,-3.2,-0.8,85.23,0,0,,0,0,25.4,18,68,1025.8,99.4,6.9,46,0.2,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T11:00:00,1.8,-2.7,-0.7,83.04,0,0,,0,0,29,18.3,60,1025.3,99.4,6.9,75,0.3,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T12:00:00,2.4,-2.4,-0.3,82.46,0,0,,0,0,25.6,21.3,61,1024.4,98.8,7,130,0.5,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T13:00:00,3.3,-1.3,-0.1,78.58,0,0,,0,0,32.2,21.7,69,1023.5,98.8,7.8,109,0.4,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T14:00:00,3.5,-0.6,-0.1,77.32,0,0,,0,0,29.1,18.6,62,1022.6,99.4,7.7,66,0.2,1,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T15:00:00,3.3,-1.3,0.5,81.79,0,0,,0,0,32.2,21.4,69,1021.9,99.4,5.9,22,0.1,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T16:00:00,2.5,-1.9,1.5,93.21,0.078,100,rain,0,0,29.5,18.9,61,1021.3,98.8,4.1,25,0.1,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T17:00:00,2.3,-2.5,1.3,92.81,0.335,100,rain,0,0,32.4,21.6,70,1020.7,99.4,4,8,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T18:00:00,2.3,-2.5,1.4,93.63,0.647,100,rain,0,0,32,21.4,70,1020.3,99.1,3.9,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T19:00:00,2.7,-1.7,2,95.34,0.09,100,rain,0,0,39.1,18.5,70,1020,99.1,3.1,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T20:00:00,2.8,-1.4,1.8,93.14,0.078,100,rain,0,0,31.9,18.3,70,1019.4,99.4,4,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T21:00:00,3,-1.3,2,93.4,0,0,,0,0,28.7,18.3,71,1018.5,99.4,4,0,0,0,,Overcast,cloudy,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-10T22:00:00,3.5,-0.8,1.6,87.37,0,0,,0,0,38.2,19.4,91.7,1019,96.6,,0,0,0,,Overcast,cloudy,remote
Eindhoven,2025-02-10T23:00:00,3.2,-1.4,1.9,91.44,0.313,100,rain,0,0,32.1,21.3,69,1017.2,100,4.1,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-11T00:00:00,2.7,-2,2.1,95.77,2.508,100,rain,0,0,32.4,21.4,62,1016.6,99.1,2.3,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
Eindhoven,2025-02-11T01:00:00,2.6,-2.1,1.9,95.4,0.316,100,rain,0,0,38.9,21.2,72,1015.8,91,3.1,0,0,0,,"Rain, Overcast",rain,"D0088,06350099999,06464099999,06375099999,06377099999,06479099999,06370099999"
